,AAPL,AMZN,BRK-B,GOOG,JNJ,META,MSFT,NVDA,TSLA,V
Daily,15.503564678685473,1.4581016235801083,9.022853451602884,1.1376351109990104,1.8902394289942004,4.66931057412708,1.9569948813657472,1.3114484364656573,0.6363408393472444,46.1572116415159
Weekly,4.925687086263646,2.8722912692050233,10.333021915144815,2.4918073894991304,3.7809356609196043,10.327922409800953,2.8544016226687114,4.02740971902942,1.4183653090547756,25.427767144731238
Monthly,12.884617214336282,7.010056466810002,8.773904972254485,8.904174014099764,6.380217354757348,66.42006230085993,7.694832000586797,7.4381954308807146,3.35860094152573,44.082071020775544
