Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ
2010-11-09,81.68214285714285,81.8466824113739,8070.090909090908,8214.757575757576,40.78361531611751,53.61762575399506,176356.80342425316,1100934877.1949477,-0.18404219737386995,-0.18096302490288538,-0.003079172470984576,123.5544865575175,95.8359209820928,6.00669326794662
2010-11-10,81.605,81.85779142319073,8178.090909090909,8155.090909090909,45.58101472995091,54.63596189714416,179882.32749273823,1537916801.8758032,-0.16060125615891252,-0.1768906711540908,0.016289414995178275,123.42599319660296,96.222070157993,6.05647249392408
2010-11-11,81.44714285714285,81.7607525667653,8098.090909090909,8115.424242424243,41.2923561859732,50.57940921901722,183478.361242593,1101948740.0520906,-0.20422329644738113,-0.18235719621274887,-0.021866100234632257,123.35859572710154,95.8595627683724,6.01222429305523
2010-11-12,81.22714285714285,81.5593188911966,8009.503937007874,8095.22858506323,38.64306784660769,45.61808879923265,187146.31046744486,668578013.228378,-0.3062722078249749,-0.20714019853519408,-0.0991320092897808,123.28111056145671,94.7247570269514,5.94861750430625
2010-11-15,81.08214285714284,81.37674303903705,8003.503937007874,8037.03292770222,41.88649080735412,46.75813776115273,190887.63347679377,237887595.10031754,-0.3875211018350626,-0.2432163791951678,-0.1443047226398948,123.19750628093873,94.5907869047003,5.96797609218638
2010-11-16,81.03642857142857,81.18117730049879,7975.503937007874,7996.170603674541,47.122302158273385,47.01669187264915,194703.78474632965,-191674803.02774286,-0.46909763016964234,-0.2883926293900627,-0.18070500077957963,123.06671869604446,93.1171155599382,5.88501071555728
2010-11-17,80.99571428571429,80.96102032709895,7937.503937007874,7972.170603674541,47.42081447963805,47.47022048280991,198596.26744125623,-617576477.6990132,-0.5579784129939469,-0.34230978611083956,-0.21566862688310734,122.97979771477043,93.1643991324974,5.87671417789437
2010-11-18,81.08857142857143,80.94755095015243,8067.420560747663,7993.476144921136,55.48986486486485,54.94465894892798,202566.60239008136,-188667807.28306204,-0.5151587595030804,-0.37687958078928774,-0.1382791787137927,122.89099024613839,94.5356227367145,6.03711390604396
2010-11-19,81.15071428571427,80.92387749013211,8058.420560747663,8021.115019501067,53.753235547886064,54.88297819955852,206616.333837883,-618790248.9318899,-0.4829193300215735,-0.39808753063574487,-0.08483179938582863,122.79613745883469,94.7956823857902,6.07237419111132
2010-11-22,81.12071428571427,80.80069382478118,7981.420560747663,8035.753894080997,48.22635135135135,49.308897824174046,210747.05451464065,-1047864131.7571883,-0.5135816649859777,-0.4211863575057915,-0.0923953074801862,122.7151541399641,94.7168764315248,5.96521057963207
