Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2010-06-29,,23.89,,,,69.96456797753709,3.4235517116347654e+22,13181690.616621986
2010-06-30,,23.882,,,,65.11255598012141,3.3564232467007505e+22,14628058.81559727
2010-07-01,,23.625733333333336,,,,54.67664676389649,3.2906110261772063e+22,19376493.563245118
2010-07-02,,23.035635555555558,,,,56.05012701881215,3.226089241350202e+22,28117346.98970846
2010-07-06,,22.112217481481483,,,,56.556066568213986,3.162832589559022e+22,42802926.79506869
2010-07-07,,21.27058848395062,,,,60.683797239465065,3.100816264273551e+22,57530456.297398604
2010-07-08,,20.762510019423868,,,,66.000821279265,3.040015945366226e+22,50039779.10276101
2010-07-09,,20.314175350167353,,,,72.10584834199861,2.9804077895747316e+22,56480300.74184305
2010-07-12,,19.87895197014504,,,,65.8807342637136,2.9219684211516976e+22,64917481.25942977
2010-07-13,,19.647091707459033,,,,60.566800275328866,2.8646749226977427e+22,57620113.38552122
2010-07-14,,19.672812813131163,,,,59.71554330350597,2.8085048261742577e+22,53429605.413700625
2010-07-15,,19.701771104713675,,,,66.9264935924003,2.7534361040924094e+22,48162035.041880034
2010-07-16,,19.82686829075185,,,,73.42344838501263,2.699447160874911e+22,42747671.87005944
2010-07-19,19.50857142857143,20.10461918531827,2190.029742473703,,43.40878828229028,70.7835436000716,2.6465168243871676e+22,38548515.46515614
2010-07-20,19.25214285714286,20.13066996060917,2029.0297424737032,,39.20625375826819,68.43463175344046,2.594624337634478e+22,44065944.09228166
2010-07-21,18.994285714285716,20.142580632527945,2020.6307129798904,2079.896732642432,39.15915915915916,75.36328700683947,2.543749350622037e+22,49547587.00512147
2010-07-22,18.925714285714285,20.256903214857555,2098.155172413793,2049.2718759557956,46.91516709511568,88.96936875610783,2.4938719123745463e+22,44479539.546827115
2010-07-23,19.075,20.39464945287655,2126.939477303989,2081.9084542325572,57.983193277310924,87.19906826030702,2.4449724631123004e+22,39359204.08853276
2010-07-26,19.420714285714286,20.46869619249301,2092.939477303989,2106.0113756739233,73.40425531914894,86.9154054778716,2.3970318265806867e+22,44402689.546827115
2010-07-27,19.759999999999998,20.479536700160608,2052.6691616766466,2090.849372094875,72.77085330776606,86.51049439421902,2.350031202530085e+22,49675194.57033886
2010-07-28,19.99285714285714,20.511598473472528,2069.09649122807,2071.5683767362348,68.23266219239373,85.45473772234749,2.3039521593432207e+22,44438628.00836557
2010-07-29,20.20357142857143,20.49005201034286,2031.8411214953273,2051.202258133348,65.94594594594597,85.0810969886213,2.258776626807079e+22,49801194.57033886
2010-07-30,20.41,20.416711742297146,1990.8411214953273,2030.5929114062412,65.52094522019335,91.59714370872156,2.214486889026548e+22,55216524.05366046
2010-08-02,20.60857142857143,20.483816843324192,2088.04443306087,2036.9088920171746,65.10869565217394,100.0,2.171065577477008e+22,50406563.01617874
2010-08-03,20.759285714285713,20.679307930880967,2189.153846153846,2089.3464669033474,62.368112543962496,100.0,2.128495664193145e+22,46827101.978697024
2010-08-04,20.857142857142858,20.75673354009684,2118.909090909091,2132.035790041269,57.47001090512543,97.76826977662434,2.086760455091319e+22,50756660.76053964
2010-08-05,20.84357142857143,20.715835734750595,2037.909090909091,2115.3240093240092,48.97074756229685,94.26348679245011,2.0458435834228616e+22,55057779.54238227
2010-08-06,20.677857142857142,20.565724303450516,1951.7238805970148,2036.1806874717322,36.84807256235826,93.8837253597981,2.0057290033557467e+22,59938533.0531735
2010-08-09,20.627857142857142,20.43696106299045,1952.875457875458,1980.8361431271878,45.15235457063712,93.36041065349312,1.9664009836821047e+22,54705098.410306804
2010-08-10,20.542857142857144,20.249366254591724,1897.3988095238096,1933.9993826654274,42.28274967574579,90.2556003366873,1.9278441016491225e+22,60571464.3784747
2010-08-11,20.321428571428573,19.936117420646163,1785.8775981524248,1878.7172885172306,30.769230769230745,89.27343382634356,1.8900432369109044e+22,67157993.45343871
2010-08-12,20.05785714285714,19.624635097893343,1756.3695198329856,1813.2153091697398,27.13754646840148,81.73944103263167,1.8529835655989257e+22,73866463.70487331
2010-08-13,19.87,19.450683751507565,1828.3695198329854,1790.205545939465,34.4378698224852,80.26596104901299,1.8166505545087507e+22,67583229.52233435
2010-08-16,19.743571428571432,19.36125925130656,1874.3695198329854,1819.7028531663184,39.60047003525264,66.52473385257983,1.781029955400736e+22,61749703.21498114
2010-08-17,19.631428571428568,19.333091351132353,1911.3695198329851,1871.3695198329851,40.9873708381171,65.95416730634771,1.7461077994124863e+22,56002867.23020857
2010-08-18,19.518571428571427,19.258012504314706,1873.3695198329854,1886.3695198329851,40.940366972477044,59.21317385670941,1.711870391580869e+22,62144496.14427407
2010-08-19,19.43642857142857,19.195610837072746,1875.3695198329854,1886.7028531663184,43.097238895558206,58.857159842577985,1.6783043054714403e+22,56002867.23020857
2010-08-20,19.30642857142857,19.182862725463046,1906.3695198329856,1885.036186499652,38.120104438642294,52.44684336277282,1.6453963779131767e+22,50147370.00475784
2010-08-23,19.176428571428573,19.309147695401307,2009.3695198329854,1930.3695198329854,38.120104438642294,51.18698043525795,1.6131337038364477e+22,44974060.01564718
2010-08-24,19.029285714285717,19.2945946693478,1915.8197115384614,1943.852917068144,36.96202531645568,49.65054333308475,1.5815036312122036e+22,50377641.057389416
2010-08-25,18.990000000000002,19.375315380101426,1984.2015938114766,1969.7969417276408,46.46983311938382,56.50901526371598,1.5504937560903957e+22,45420650.15649225
