Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ
2011-11-23,384.93142857142857,382.21652082210613,36690.30648610121,37074.973152767874,28.322518625330446,30.5206300576576,1479452312.1244788,105098864390.4902,-6.864918341149689,-4.073488409281121,-2.791429931868568,182.5466759279513,93.6759303567837,6.80592639614026
2011-11-25,382.3121428571429,379.7303180458253,36348.86839749329,36893.8271232319,28.123135664001893,25.808707727297204,1509041351.0293684,103330602780.32114,-7.722213163068659,-4.803233360038629,-2.9189798030300302,182.59619503240228,93.4991226639346,6.78933332081444
2011-11-28,380.6257142857143,379.24894230638193,37603.86839749329,36881.014427029266,37.68388106416275,30.94916953508563,1539222170.7835557,105108912928.98785,-7.3047408649929935,-5.303534861029502,-2.0012060039634916,182.66655938169632,96.2074950498505,6.97738817450706
2011-11-29,378.26642857142855,378.442416665531,37310.32951823263,37087.68877107307,32.10144142191393,24.44276678061172,1570006606.7926269,103334693573.1369,-7.127350991970843,-5.66829808721777,-1.4590529047530731,182.74272101674705,96.4807433024355,6.91654689831239
2011-11-30,377.33214285714286,378.94342777679356,38209.2794334612,37707.82578306237,42.759078830823746,31.801652044836885,1601406731.5244794,105122856487.13675,-6.189198231147543,-5.772478116003725,-0.4167201151438178,182.82785244461124,100.450879678229,7.25947045504599
2011-12-01,377.5257142857143,380.1416374065544,38779.94033069734,38099.84976079706,51.575764623793454,40.67564637736685,1633434858.588969,106921260427.68205,-4.926552071173148,-5.60329290703761,0.6767408358644618,182.91101669927374,100.434806251607,7.21798776673144
2011-12-02,377.8885714285714,381.41608575234716,38958.01315741721,38649.07764052525,52.91418081688847,49.81074424280478,1666103548.1457484,108712131628.32558,-3.7399597569918797,-5.230626277028464,1.4906665200365845,182.9942707192785,100.346402405182,7.16267751564537
2011-12-05,378.87071428571426,382.96194098536756,39290.02024780901,39009.324578641186,58.077781694277995,57.23282368172949,1699425611.3370633,110501354649.79276,-2.503627205915393,-4.68522646280585,2.1815992568904568,183.0736595893144,101.439395415522,7.24564289227447
2011-12-06,379.0221428571428,384.0270155206519,39084.02024780901,39110.68455101174,51.36597938144331,50.5037610601544,1733414115.7560446,108716202320.70654,-1.6707897119846393,-4.082339112641607,2.411549400656968,183.13616149092542,101.471542268767,7.23181532950295
2011-12-07,379.3307142857143,384.70208011789833,38898.02024780901,39090.68691447567,52.86472148541114,44.12011012319756,1768082390.2835655,106929805942.6676,-1.147617433697235,-3.495394776852733,2.347777343155498,183.20240616582433,101.849267794399,7.07694662646197
