Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ
2014-03-27,,558.46,,,,,,-3474.8010610078495,156.362736086394,10.6461966143651
2014-03-28,,558.6640000000001,,,,,,-34067.12789521103,157.13362182612,10.5258034377891
2014-03-31,,558.4381333333334,,,,,,7239.399534821176,158.421255149618,10.5888665302813
2014-04-01,,559.601048888889,,,,,,-28259.735698085897,159.471692860893,10.2563520425951
2014-04-02,,560.5875757037038,,,,,,120842.44831530936,160.005382988395,10.600332547098
2014-04-03,,561.80789894321,,,,,,-2648840.124466976,159.793601191767,10.4455413200717
2014-04-04,,559.3188457507821,,,,,,6421591.110955521,157.904507565846,10.405410261213
2014-04-07,,556.4963329840111,,,,,,15354139.927250039,156.159425561631,10.2592185467993
2014-04-08,,556.283488586143,,,,,,9517251.603860663,156.80324222338,9.97830113478859
2014-04-09,,557.331023441324,,,,,,6344142.024432628,158.489025324539,9.99836666421792
2014-04-10,,555.1468869824807,,,,,,13206231.683541916,155.159815481547,10.0012331684221
2014-04-11,,551.87396871815,,,,,,21617107.75690508,153.762055623802,9.96683511797182
2014-04-14,,549.29343955573,,,,,,11683518.429535434,154.973447500514,9.86364096662095
2014-04-15,551.4399999999999,547.579647614966,53637.997213149494,,40.39267015706807,25.12151152892916,518.4601,4821294.169024557,156.040827755519,9.7833788489036
2014-04-16,551.3028571428571,548.7743612663039,55647.99721314949,,49.28730512249441,33.91174649733806,518.859898,2574881.202631306,157.675783225487,9.95536910115506
2014-04-17,549.5964285714286,547.0844464307967,53603.99721314949,54296.66387981616,42.22381355380508,29.179526766341894,519.62270004,7948438.855673029,157.89603629398,10.0356312188724
2014-04-21,547.5714285714286,544.6225202400237,52855.99721314949,54035.99721314948,41.03245397608652,27.766171861031324,520.2202460392,14488850.742948998,158.446668965213,10.1703569164694
2014-04-22,545.2607142857142,543.3141842080206,53474.99721314948,53311.66387981615,39.50152528071654,30.871428482567637,520.549841118416,9132742.559376702,159.166727073748,10.4971383957471
2014-04-23,542.3992857142857,541.1309596469512,52686.46642177627,53005.82028269174,37.61898875015453,29.568407484542092,520.8834442960476,16164888.53822456,158.793991111683,10.494271891543
2014-04-24,539.215,539.001498360691,52507.25845600819,52889.57403031131,36.13978360900383,31.58948686426534,521.1431754101267,23876898.105739795,159.115899442558,10.3968107486005
2014-04-25,537.2892857142857,535.9586319125989,51607.68128128127,52267.13538635524,40.58659217877092,34.57425329543291,515.42,33340426.63877228,157.811323575329,10.3337476561083
2014-04-28,535.7892857142857,533.4508143242524,51706.96420009589,51940.63464579512,42.45581261675527,35.47586621475281,502.8,26592756.333587877,158.311128615371,10.405410261213
2014-04-29,533.8464285714285,532.6840390810188,52761.9642000959,52025.53656049102,39.77289818017749,34.64829811603073,503.116,21815721.797048837,159.048129267637,10.4627403452969
2014-04-30,531.1692857142858,531.8808338702163,52657.91639871382,52375.61493296854,34.98156755890365,32.061468599392526,503.64288,25700435.165704682,159.522520492084,10.5774005134645
2014-05-01,530.4835714285714,531.8100560208542,53125.723247232476,52848.534615347395,45.48362815205118,38.201285754935775,504.1300224,23052491.631303005,159.539463035814,10.5860000260771
2014-05-02,530.2928571428572,531.2927152180736,52783.72324723247,52855.78763105959,48.65626572722694,40.323219549110064,504.70602195199996,26453061.13383305,159.310738695456,10.5630679924435
2014-05-05,529.9564285714285,530.8283531889971,52771.72324723247,52893.72324723247,47.585853408508434,35.29707866534329,505.29189951295996,29126055.43847393,159.6157044826,10.5200704293807
2014-05-06,528.4350000000001,528.7365727637974,51504.723247232476,52353.38991389913,39.981185324553124,37.41429909216165,505.7640615227008,33460513.232476495,158.22641589672,10.405410261213
2014-05-07,525.1078571428571,526.2330297286244,50985.23340471092,51753.893299725285,24.513022543226143,24.942537195995527,503.3,37809390.30899027,159.158255801883,10.5688010008519
