Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ
2011-06-20,15883.481311406265,15858.744772897175,2.249460485370803,4.132716901839383,4.375624374002684,0.0988297200275093,3.1690012894523836,8.917901112115514,9.086461440507943,132039.73863399684
2011-06-21,15884.06902085445,15859.94253582436,2.2492850220747242,4.125729178997867,4.374461608414679,0.09522950754295134,3.166296978621224,8.9045792447355,9.088325710353747,132027.62143139762
2011-06-22,15884.797997020034,15861.440175313885,2.249110787091568,4.119206722533033,4.37379955746554,0.09158839886233909,3.163268266626452,8.89077629568659,9.090162441305557,132015.34192525016
2011-06-23,15885.654026594508,15863.228703432771,2.24893854014248,4.113169361784776,4.373626459867752,0.08793794346761663,3.1599540831100756,8.876592019524097,9.091953711164898,132002.96335682657
2011-06-24,15886.621383547359,15865.297377056095,2.248769051503841,4.107633746272827,4.373927744785667,0.0843108683161441,3.156396306145528,8.862129704054317,9.09368296462991,131990.54841785057
2011-06-27,15890.014953456417,15873.052764414118,2.2482848266728968,4.094151652245413,4.37748952307898,0.07390773909972204,3.1447149692623664,8.818136530871087,9.09835675068716,131953.6942683966
2011-06-28,15891.246055180773,15876.103335210546,2.2481340023292087,4.090718671278608,4.379485793498659,0.07071303513442458,3.1406446031967827,8.80362575978081,9.099704827398934,131941.73360496323
2011-06-29,15892.493311671948,15879.357995019573,2.2479896641782644,4.087816176928644,4.3818411408200495,0.0677109014272207,3.136568009910097,8.789366527291406,9.100933433790336,131930.02584591726
2011-06-30,15893.735790703673,15882.797988307198,2.247852478457025,4.085438106173083,4.384524294863066,0.06493376013407502,3.132534764191263,8.77545948946107,9.102036814417007,131918.62108046957
2011-07-01,15916.643773900625,15780.347620236036,2.254018343175847,3.748417408454608,4.0845583397210685,0.04289025118083395,3.1111342590452433,8.857040261847102,8.993194732410226,132113.00497727576
2011-07-05,15920.839667036966,15796.015178246409,2.253589051500097,3.7457615017643557,4.098651568331006,0.035923976896459875,3.0972306856803664,8.80941903973893,8.995799180108955,132073.0766499368
