Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2010-02-26,11.629184325207882,-11.198219362291796,-0.0522955338311426,0.2806581512774116,0.7897953920954556,0.2190507126349432,0.1947382720827311,0.2707208474421696,0.162121171564894,2.212714134191729,2.541238066321249,8.84354683058095,3.476448090259216,0.7784215381927071,0.1312920978123779,-0.0128440377017922,15648.991,15456.059,2.1728,4.4,4.55,0.13,1.6366,6.8318,9.8,129698.0,,28.425,,,,,,-1384654810.73697
2010-03-31,12.243,0.93,0.284,0.277,0.842,0.332,0.427,0.065,0.916,1.231,1.849,11.904,2.777,2.626,0.146,-0.063,15648.991,15456.059,2.1735,4.55,4.72,0.09,1.6366,6.8318,9.9,129879.0,28.7125,28.856250000000003,2921.2377384196184,,100.0,51.62958155779658,27.57,-1916617819.136201
2010-04-30,12.767,0.97,0.284,0.277,0.842,0.332,0.427,0.065,0.916,1.231,1.849,11.904,2.777,2.626,0.146,-0.063,15648.991,15605.628,2.174,4.36,4.53,0.2,1.6366,6.8318,9.9,130110.0,29.4975,29.695625,3046.6246882793016,,100.0,70.35681073119082,27.57,-2060893102.8732688
2010-05-28,11.033587823270857,17.67659768203808,0.1329494437255889,0.0834690258461746,0.6840061552803264,0.2010559429551477,0.1979255526747715,0.00178524519406,1.111504124233884,1.4528374400429211,2.246191554240925,11.754159875427913,3.024238868102311,1.1050874256629537,0.1356927408568555,-0.0604188071468758,15648.991,15605.628,2.1729,4.05,4.22,0.19,1.6366,6.8318,9.6,130650.0,28.54083333333333,27.7478125,2576.5014245014245,2848.1212837334483,28.25757575757575,60.82900981123444,24.56,-852722873.7280858
2010-06-30,8.925,0.998,0.266,0.29,0.846,0.321,0.425,0.081,0.912,1.334,1.932,12.411,2.762,2.368,0.144,-0.064,15648.991,15605.628,2.172,3.74,3.91,0.09,1.6366,6.8318,9.4,130511.0,26.44833333333333,25.37890625,2298.34067207416,2640.4889282849617,14.220575662581922,31.36369489853803,22.95,1976852575.517598
2010-07-30,13.61498112358986,23.108481771479266,0.23585335020807,0.1946450646573907,0.759036775480296,0.1666558925052339,0.3174343399805398,0.3194325382876709,-0.0864230552639855,2.099181446683116,2.7870919633095985,9.342605080864097,3.105716148477306,1.8861794897979556,0.1404377076073578,-0.032623372146848,15648.991,15726.282,2.1761,3.74,3.98,0.18,1.6366,6.8318,9.4,130427.0,24.87333333333333,25.594453125,2578.2715050536576,2484.3712005430807,27.118644067796595,28.728657638687835,22.73,96544704.5327828
2010-08-31,8.435,0.699,0.242,0.3,0.842,0.325,0.436,0.097,0.865,1.407,2.129,13.573,2.697,2.116,0.139,-0.065,15648.991,15726.282,2.1792,3.23,3.52,0.21,1.6366,6.8318,9.5,130422.0,24.095,24.5297265625,2341.088095238096,2405.900090788638,35.28670447385001,32.885215730495034,22.8036,3134976992.837859
2010-09-30,8.71,0.73,0.242,0.3,0.842,0.325,0.436,0.097,0.865,1.407,2.129,13.573,2.697,2.116,0.139,-0.065,15648.991,15726.282,2.1828,3.38,3.69,0.15,1.6366,6.8318,9.5,130357.0,24.588333333333328,24.50986328125,2442.823369565217,2454.060989952324,61.99351701782819,68.03440400210181,22.875128,38965531.16594648
2010-10-29,9.737370283363791,6.552550959348945,0.263791154666869,0.1962398551413137,0.6865113589992811,0.207201656214693,0.2111643302797996,0.0616445056418272,1.0783731686589004,1.684782268242191,2.6328072042426647,8.180582156515046,3.1918540047794663,1.5400659432313448,0.1333920477965282,-0.0477085804955916,15648.991,15807.995,2.1904,3.64,3.99,0.2,1.6366,6.8318,9.4,130625.0,24.87333333333333,25.587431640625,2660.4896907216494,2481.4670518416538,57.709648331830486,67.35697575662661,22.92822544,-2176529240.447487
2010-11-30,8.26,0.574,0.22,0.313,0.848,0.353,0.46,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,-0.065,15648.991,15807.995,2.1959,3.8,4.12,0.2,1.6366,6.8318,9.8,130750.0,25.47083333333333,25.4224658203125,2519.790506329114,2541.034522205327,69.4519804666305,100.0,23.0136609312,1051872113.7831336
