Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2012-09-28,21.29824726866722,2.4399169142844945,0.1213568321422415,0.1100259230880151,0.5888492487704253,0.2242736173482323,0.3779483501976057,-0.0902150911811057,0.4241920643905325,1.598717546087283,5.629202714741648,3.5595671339370534,6.477687964463804,0.8345475219163412,0.1868097669156869,-0.0756565889512908,118.175,6.5155,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0,13.636666666666663,13.561702310624998,1330.0261437908496,1359.55441381856,33.56164383561644,68.16771059173303,11.752746020513424,-122168542.8808341
2012-10-31,8.838,2.4393032143051787,0.0,0.119,0.57,0.15,0.115,0.005,0.319,3.245,4.134,4.937,4.783,1.345,0.273,-0.069,116.0245,6.6526,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0,13.115,12.768351155312498,1194.0103244837758,1307.9323046523589,19.25343811394893,38.91541634185166,11.799491100103156,670664718.4603492
2012-11-30,8.835,-2.821680045252502,0.0,0.119,0.57,0.15,0.115,0.005,0.319,3.245,4.134,4.937,4.783,1.345,0.273,-0.069,116.6811,6.7785,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0,12.428333333333333,12.36917557765625,1193.2074829931971,1239.0813170892743,0.0,0.0,11.15,1501008698.4543822
2012-12-31,9.775,5.168,0.0,0.122,0.571,0.154,0.116,0.005,0.319,3.334,4.26,4.719,4.884,1.301,0.27,-0.049,117.7311,7.0285,16253.97,16300.035,2.3122,2.54,2.95,0.09,2.0732,0.5444,7.9,135075.0,12.068333333333332,12.314587788828124,1221.7924528301887,1203.0034201023873,17.46987951807226,30.690127413822182,11.1886,672474930.1720608
2013-01-31,9.649,5.168,0.0,0.122,0.571,0.154,0.116,0.005,0.319,3.334,4.26,4.719,4.884,1.301,0.27,-0.049,123.7577,7.9651,16553.3475,16441.485,2.3168,2.79,3.17,0.15,1.466,0.6098,8.0,135265.0,12.163333333333334,12.287293894414065,1220.5343137254902,1211.8447498496255,98.30508474576304,63.85342814687198,11.221028,672474930.1720608
2013-02-28,9.963,5.337,0.0,0.122,0.571,0.154,0.116,0.005,0.319,3.334,4.26,4.719,4.884,1.301,0.27,-0.049,125.3368,8.9044,16553.3475,16441.485,2.3294,2.71,3.1,0.14,1.466,0.6098,7.7,135544.0,12.393333333333333,12.473646947207031,1258.1476510067114,1233.4914725207966,100.0,100.0,11.26040744,-130109736.54776049
2013-03-28,10.361438008269689,-0.3225055517965705,0.1404987133930517,0.0239182161535416,0.6221444464886552,0.2494124494235739,0.2070824762057749,0.0781578663549456,0.2966241717330545,2.4465766757132257,3.3257016597271583,4.368459502667067,4.751524790372198,0.9564014502607988,0.2590094866862105,-0.0468954294968183,130.0965,9.1212,16553.3475,16441.485,2.3228,2.71,3.1,0.09,1.466,0.6098,7.5,135689.0,12.583333333333334,12.651823473603516,1273.6953125,1250.7924257440673,100.0,100.0,11.2921992912,-850023053.2675818
2013-04-30,9.656,-0.9440767821713288,0.083,0.131,0.573,0.153,0.121,0.004,0.328,3.819,4.892,4.81,5.515,1.127,0.268,-0.044,132.5959,8.3249,16553.3475,16464.402,2.318,2.49,2.88,0.14,1.466,0.6098,7.6,135876.0,13.086666666666668,13.21091173680176,1370.0404624277458,1300.627808644819,100.0,100.0,11.326355305376,-1335284469.9874032
2013-05-31,10.146,1.7469432276837191,0.083,0.131,0.573,0.153,0.121,0.004,0.328,3.819,4.892,4.81,5.515,1.127,0.268,-0.044,135.7265,8.884,16553.3475,16464.402,2.3189,2.95,3.3,0.09,1.466,0.6098,7.5,136091.0,13.69,13.84045586840088,1442.904761904762,1362.2135122775026,100.0,100.0,11.37522819926848,-1758075379.8579092
2013-06-28,-2.2698792406514023,-1.4789603207993771,-0.0605031917641748,0.0344302741172073,0.6556864305956505,0.0709391998284532,0.1448253571750169,0.0810399724982216,0.3799716044491967,3.470641355935116,4.599534340465835,4.0514349225392055,6.601838233539952,1.0856112699196954,0.2497948904798319,-0.0173922192445812,133.9131,9.298,16553.3475,16464.402,2.3245,3.22,3.52,0.07,1.466,0.6098,7.5,136269.0,14.093333333333334,13.94022793420044,1400.5,1404.4817414441693,79.22705314009656,100.0,11.447323635283109,-1162046275.4419484
