Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2013-07-31,17.652,7.091676521291742,0.647,0.152,0.734,0.182,0.16,0.152,0.866,0.84,1.901,2.38,3.531,3.221,0.132,-0.037,140.8333,9.1874,16553.3475,16594.743,2.329,3.34,3.64,0.09,1.466,0.6098,7.3,136391.0,87.84666666666668,88.92466897278646,9343.323577235771,8777.90547681531,89.87463837994216,67.47362568232984,63.65217190727358,10572575379.493032
2013-08-30,17.03058633346165,-2.3576793954665725,3.099335924809827,0.1438049541322726,0.7449190777094384,0.1843897726240489,0.2197238558427352,0.2274387195311614,1.1019846902706147,1.2170062261439298,1.8746829569179264,2.3629536505661624,2.95502105334424,0.8981988106765435,0.1132741931176386,0.0038884342073753,136.6094,8.4672,16553.3475,16594.743,2.3346,3.46,3.7,0.07,1.466,0.6098,7.2,136635.0,88.58999999999999,87.66733448639323,8634.323577235773,8851.783555622746,56.79463741620959,33.581167549205176,64.26752846912811,9198191175.366049
2013-09-30,16.071,11.276,0.539,0.184,0.736,0.185,0.192,0.142,0.834,0.928,2.005,2.397,3.345,2.95,0.125,-0.019,140.9374,9.1434,16553.3475,16594.743,2.3354,3.41,3.69,0.06,1.466,0.6098,7.2,136819.0,88.86666666666666,87.17866724319661,8659.414798206279,8879.020650892608,52.76482345103263,36.25055753017052,64.87017789974554,10460150059.577778
2013-10-31,17.169,12.046,0.539,0.184,0.736,0.185,0.192,0.142,0.834,0.928,2.005,2.397,3.345,2.95,0.125,-0.019,147.4637,10.0887,16553.3475,16712.76,2.3367,3.33,3.63,0.07,1.466,0.6098,7.2,137039.0,88.57,89.8943336215983,9251.393258426966,8848.377211289673,46.651617757712565,32.78786240778756,65.38717434175064,11858569381.525356
2013-11-29,11.648958055082836,7.231738514017993,1.2323903013200348,0.156859786877542,0.742019396982015,0.1819111116896481,0.2649973369033985,0.190038819344518,0.7436388843201418,1.0685641664398533,2.048122821882335,2.263081581192304,2.737386295221468,1.825261363257633,0.1165389803867426,0.0287799700756171,151.8342,11.1879,16553.3475,16712.76,2.341,3.54,3.82,0.07,1.466,0.6098,6.9,137314.0,91.32,92.27716681079914,9457.84938036225,9122.88581233183,100.0,66.76153076605934,65.94843085491563,13294071590.265388
2013-12-31,15.52,10.144,0.552,0.183,0.741,0.186,0.185,0.135,0.822,0.966,2.042,2.347,3.24,2.809,0.119,-0.031,155.7661,11.3712,16553.3475,16712.76,2.3472,3.72,3.96,0.07,1.466,0.6098,6.7,137368.0,92.95333333333332,91.93358340539956,9150.84938036225,9286.697339717157,72.19202898550729,66.82907781191034,66.54926223781732,11900102983.118982
2014-01-31,14.991,9.799,0.552,0.183,0.741,0.186,0.185,0.135,0.822,0.966,2.042,2.347,3.24,2.809,0.119,-0.031,150.2756,10.8997,16932.0518,16654.247,2.3529,3.35,3.61,0.07,1.6155,0.9371,6.6,137552.0,91.57333333333334,90.20179170269978,8835.75637755102,9148.151712758508,24.87864077669901,28.247680966268703,67.11407699306098,10681871628.669672
2014-02-28,14.965,6.985,0.527,0.194,0.744,0.182,0.189,0.153,0.792,1.138,2.197,2.373,3.079,2.32,0.123,-0.028,157.1155,10.9683,16932.0518,16654.247,2.3555,3.31,3.59,0.06,1.6155,0.9371,6.7,137707.0,90.72666666666667,91.16089585134988,9202.73304628633,9063.1129347332,37.09349593495939,0.0,67.67939545319976,12012587299.32768
2014-03-31,15.954,7.448,0.527,0.194,0.744,0.182,0.189,0.153,0.792,1.138,2.197,2.373,3.079,2.32,0.123,-0.028,158.4213,10.5889,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0,92.94,94.69544792567496,9816.118305355716,9284.869243064357,75.77639751552793,35.874504488858435,68.18560754413576,13507358379.509497
2014-04-30,16.451,7.68,0.527,0.194,0.744,0.182,0.189,0.153,0.792,1.138,2.197,2.373,3.079,2.32,0.123,-0.028,159.5225,10.5774,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0,97.21333333333332,97.99272396283747,10123.582127123977,9714.144492922009,100.0,72.2315358624244,68.79389539325305,15140426748.05556
