Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2012-06-29,,31.095,,,,,,271207037.83102095
2012-07-31,,26.4025,,,,,,510958294.4986689
2012-08-31,23.621,22.230249999999998,1804.630739299611,,0.0,0.0,18.03,1888059674.152743
2012-09-28,20.476,21.945124999999997,2164.8551859099803,,21.647935573051257,38.2238448301951,23.37,947512397.5914521
2012-10-31,20.276,21.5275625,2108.3805970149256,2025.955507408172,46.15581752947206,66.9963841150363,24.25,2055725506.9967802
2012-11-30,23.59,24.76378125,2798.3205741626793,2357.1854523625284,95.01901829378735,100.0,28.0,2475002597.591452
2012-12-31,25.243233333333336,25.691740625,2660.1049206349207,2522.268697270842,78.11525685067403,100.0,28.88,2308342809.227341
2013-01-31,28.53356666666667,28.3363703125,3096.716193542237,2851.713896113279,89.07264321226133,100.0,32.5063,3145732068.069009
2013-02-28,28.28356666666667,27.79318515625,2721.581161725324,2826.1340919674935,46.041213605557076,75.40898717034624,32.404574000000004,2893567131.4495635
2013-03-28,27.936999999999998,26.686592578125,2554.8251929671346,2791.0408494115654,44.674922917755026,52.38859486022705,32.52586548000001,3052337319.356035
2013-04-30,26.866333333333333,27.2277962890625,2772.97619047619,2683.127515056216,28.840579710144922,30.174896270770063,32.681982789600006,3466349860.127528
2013-05-31,25.899,25.787898144531248,2430.796557659208,2586.199313700844,30.068681318681314,31.071339208388096,32.832622445392005,3666611416.2923527
2013-06-28,25.665666666666667,25.333949072265625,2484.4578125,2562.743520211799,44.301530446108764,31.08519700871483,33.024074894299844,4060726784.7307014
2013-07-31,28.676,31.06697453613281,3678.550511508951,2864.6016272227193,78.44767844767844,51.83184394167647,38.31,5586163515.739671
2013-08-30,34.324666666666666,36.1804872680664,4128.242776927003,3430.4170336453185,100.0,84.11136651178526,42.26,8040156807.493202
2013-09-30,42.77466666666666,43.205243634033195,5022.120218579235,4276.304502338397,100.0,100.0,51.6,11650299882.3176
2013-10-31,47.242999999999995,46.7051218170166,5018.584536477195,4722.982510661145,99.81419546636938,100.0,54.825,7971091844.084945
2013-11-29,49.14833333333333,46.8575609085083,4697.90399701158,4912.86958402267,73.51102336294835,73.3273321864976,54.633700000000005,4549359833.721142
2013-12-31,50.62133333333333,50.75328045425415,5462.00246174318,5059.496998410651,70.34717745648771,73.87513556889428,58.58,8520212217.916114
2014-01-31,54.742999999999995,56.66164022712708,6254.802724520686,5471.569727758481,82.96454278858971,70.92076175787456,63.37,13605957902.111088
2014-02-28,61.893,62.56082011356354,6844.162827640984,6186.9893379682835,100.0,100.0,71.44,19186070457.62822
2014-03-31,63.75666666666667,61.400410056781766,6021.5,6373.4885173872235,62.68893831419365,65.41082281047026,72.59,14472993466.792812
2014-04-30,62.826666666666675,60.59020502839088,5974.951477969883,6280.204768536955,40.42553191489361,27.90519146826888,72.29780000000001,9558211050.44389
2014-05-30,61.10666666666666,61.94510251419544,6326.951477969883,6107.800985313256,28.85245901639344,26.349197611559916,72.65055600000001,15314503320.026644
2014-06-30,63.45666666666667,64.61755125709772,6724.902548725638,6342.268501555135,94.22835633626097,52.78985406994418,72.97836712000002,21735739918.594906
2014-07-31,67.74666666666667,68.63377562854886,7262.252929687501,6771.368985461007,100.0,100.0,76.74,28605225988.94569
2014-08-29,71.58666666666667,71.72688781427442,7477.866889632106,7155.0074560150815,100.0,100.0,76.4494,35753573471.45863
2014-09-30,75.50333333333333,75.3834439071372,7900.4444723862225,7546.8547639019425,100.0,100.0,79.7067,43477054239.5407
2014-10-31,76.28333333333333,75.1867219535686,7492.51291512915,7623.608092382493,61.20689655172407,54.834389202724786,81.16,35903524109.143135
2014-11-28,77.24333333333334,76.4433609767843,7763.512915129151,7718.823434214842,63.114754098360656,53.20550703900385,80.94319999999999,43870891632.207375
2014-12-31,76.90333333333332,77.23168048839216,7796.06582278481,7684.030551014371,42.796610169491466,49.19344065515483,82.17,51801787362.22528
2015-01-30,77.21,76.57084024419608,7583.493788819876,7714.357508911278,58.94941634241247,65.5502516844795,82.0146,43963296972.96551
2015-02-27,77.63333333333334,77.77042012209805,7888.576834862385,7756.04548215569,61.56648451730416,65.44512813076642,82.184092,51988967117.28589
2015-03-31,79.03166666666667,79.99271006104902,8215.679827098471,7895.9168169269105,74.92572786690437,66.89617484100606,86.0699,60086481724.27891
2015-04-30,79.985,79.3813550305245,7871.179827098472,7991.812163019776,64.66666666666664,65.73190341353583,85.893702,52463978523.73155
2015-05-29,80.05833333333334,79.28567751526225,7910.725126348344,7999.194926848429,51.54711673699014,37.85804135434463,86.04517604,60065200412.548935
2015-06-30,81.24166666666666,82.52533875763112,8570.410388580493,8117.438447342436,67.00191570881222,37.06071468048813,89.4,67840231441.53391
2015-07-31,86.32166666666666,88.26766937881555,9397.579510022271,8626.23834165037,100.0,78.05024975752212,99.24,75815596752.36385
2015-08-31,89.735,88.84883468940778,8940.356828193833,8969.4489089322,76.39175257731961,65.89355034135377,98.95982,67624699020.47632
2015-09-30,91.05666666666667,89.28941734470389,8970.356828193833,9102.764388803313,65.10476190476192,68.01393641477861,99.49901639999999,75653685097.8606
2015-10-30,93.71,95.62970867235194,10194.826086956522,9368.513247781397,73.24766355140186,64.89964521094717,105.12,84039653999.58855
2015-11-30,98.64666666666666,99.93485433617596,10420.561572402728,9861.914829184361,100.0,100.0,110.65,92283716464.17702
2015-12-31,103.62333333333333,102.29742716808798,10462.035890533873,10359.141183297708,100.0,71.17489087544017,110.44640000000001,100523687785.07507
2016-01-29,107.03666666666668,107.253713584044,11217.192160204517,10699.929874380374,100.0,75.30455497822207,112.84,109513811177.17041
2016-02-29,107.92999999999999,107.08685679202199,10688.833097094259,10789.353715944217,60.10558069381602,79.30652743953996,117.59,100547677529.99323
2016-03-31,111.07666666666667,110.59342839601099,11406.833097094259,11104.286118131013,73.5764235764236,100.0,117.1746,109795700802.9075
2016-04-29,112.86666666666667,114.0867141980055,11753.960784313726,11283.208992834081,66.83385579937307,100.0,120.79,119456528479.13394
2016-05-31,116.83,116.44835709900275,11874.741007194245,11678.511629534078,100.0,100.0,121.08,129244963540.01642
2016-06-30,116.89,115.36417854950137,11424.370433595084,11684.357408367685,50.97402597402601,100.0,135.6,119708232666.17595
2016-07-29,119.00999999999999,119.6520892747507,12390.04567044209,11896.385703743807,70.62256809338521,100.0,135.05259999999998,129446351154.10104
2016-08-31,121.44666666666667,122.88604463737535,12608.04567044209,12140.82059149309,72.32742822235798,100.0,135.494252,139454406968.3609
2016-09-30,126.11000000000001,125.57802231868769,12821.057338243032,12606.382893042406,100.0,100.0,135.76273704,149401076364.82767
2016-10-31,128.46,128.28401115934383,13088.320209973754,12839.141072886292,100.0,100.0,135.96599178079998,159428039434.47815
2016-11-30,125.89333333333333,123.35200557967192,11836.307096483093,12581.894881566628,27.92431192660551,52.9298111587053,136.150311616416,149709161073.10208
2016-12-30,121.48666666666668,119.20100278983597,11499.307096483093,12141.311467646648,14.57663451232581,24.296367194795806,136.6022478487443,140298031122.45544
