Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ
2010-02-26,12.647142857142857,14.43959948124952,1619.4040404040404,1675.1389598384278,67.52910737386804,62.29960379684502,32.34772798747117,422926101.5730604,-2.030745160101441,-3.416700870333577,1.3859557102321358,18.837121685807713,86.0379,5.1521
2010-03-31,13.322142857142856,14.834319550416252,1739.386382978723,1632.412956184871,69.46847960444994,63.36901802394487,32.68828254722059,7270283.989557087,-1.638528731677786,-3.061066442602419,1.422537710924633,18.803673897492114,91.278,5.8408
2010-04-30,13.852857142857143,14.951076943694085,1570.349869451697,1643.0467642781534,64.4947327350761,55.47356745865619,33.020448198165,847155029.5565989,-1.44737878084241,-2.7383289102504174,1.2909501294080075,18.734481353351242,92.6901,5.8076
2010-05-28,14.087142857142856,14.709600017868208,1313.2163687676389,1540.9842070660197,56.160781367392936,46.97162684572637,33.3668571621283,1873891164.7018044,-1.486137323283728,-2.4878905928570796,1.0017532695733515,18.55364832050372,85.3254,5.1411
2010-06-30,13.99642857142857,14.109653348819116,1020.2163687676389,1301.2608689956583,47.7264590046545,41.02900655685872,33.797194305370866,3242635334.4384,-1.7332998585493318,-2.33697244599553,0.6036725874461983,18.385518854315155,80.9104,4.9171
2010-07-30,13.907857142857141,13.453699568976567,918.1115537848606,1083.8480971067127,47.77777777777777,41.48840716194428,34.26896419147828,4990850865.112495,-1.988560535939202,-2.2672900639842646,0.27872952804506257,18.12112847399839,86.4367,5.3845
2010-08-31,13.7675,12.903206293113026,931.6610087293889,956.6629770939627,46.38454461821527,35.60573950159824,34.77594347530785,3166803865.6883993,-2.1551202058493377,-2.2448560923572796,0.08973588650794184,17.85662852862005,82.5487,4.953
2010-09-30,13.678357142857141,12.740378787364623,1167.361008729389,1005.7111904145462,47.76279936899469,35.6928889139795,35.298462344814006,1584273297.5225816,-2.0730331072792243,-2.2104914953416688,0.13745838806244448,17.677047162485806,89.9412,5.3734
2010-10-29,13.499821428571428,12.64439494904934,1201.2110087293888,1100.0776753960556,45.30883429365065,35.607270880225556,35.81763159171029,303575047.4212799,-1.9580926954960365,-2.1600117353725423,0.20191903987650583,17.533058259266735,93.3772,5.838
2010-11-30,13.39832142857143,12.773008955842762,1360.061008729389,1242.8776753960556,47.4367762184783,35.77204570767063,36.326384223544494,-702024342.1537058,-1.7190072709309074,-2.0718108424842154,0.352803571553308,17.439914335956015,93.3772,5.9376
2010-12-31,13.644035714285716,13.12327442839706,1539.1610087293889,1366.811008729389,56.5052950075643,41.95530289104468,36.814111908015384,-1434702470.19023,-1.3692280092809526,-1.931294275843563,0.5620662665626104,17.399069474335196,99.6189,6.5626
2011-01-31,14.419749999999999,14.56283783794412,2391.4725609756097,1763.5648594781294,66.03662138216185,55.85302790569123,37.27319414617569,-1541028482.2350612,-0.39992257056054825,-1.62501993478696,1.2250973642264118,17.58101046371969,101.94,6.77
2011-02-28,14.704035714285713,15.64245945955157,2265.5062785388127,2065.3799494146037,56.745762711864415,59.27919033067434,37.7102580290992,-1074863294.108225,0.26354946912706545,-1.247306054004155,1.5108555231312204,17.770453741447945,105.4812,7.9121
2011-03-31,14.923321428571429,16.018131531611363,1845.5062785388127,2167.4950393510785,55.0476816836567,54.51927168330333,38.02886318968118,-253344651.13189065,0.4453175974392778,-0.9087813237154685,1.3540989211547463,17.830950118003752,105.4924,7.1461
2011-04-29,15.194749999999999,16.549047327396515,1999.5062785388127,2036.839611872146,56.101477199743094,53.454285191473765,38.44924045347481,-785187002.1414664,0.7055026826133535,-0.585924522449704,1.2914272050630575,17.85511753941144,108.5477,7.5001
2011-05-31,15.38332142857143,17.014507683743645,2003.5062785388127,1949.5062785388127,54.40293529019347,54.84424353928537,38.881625262544304,-1009113624.9157481,0.9045023626487314,-0.287839145430017,1.1923415080787483,17.883985996382187,107.3304,7.0576
2011-06-30,15.399392857142857,16.87057332591116,1593.0062785388127,1865.339611872146,50.34727581416887,55.00617196454271,39.31685776779519,-553825974.4070916,0.7226416861790277,-0.08574297910820805,0.8083846652872357,17.865582852864364,105.5178,6.9967
2011-07-29,15.448678571428571,16.465163549123005,1382.5062785388127,1659.6729452054794,51.08048856874413,55.942799204314355,39.8059949231511,200338625.54394412,0.40400278938733436,0.012206174590900426,0.3917966147964339,17.808833126989786,103.407,6.6566
2011-08-31,15.670107142857145,16.044475075906604,1330.5062785388127,1435.339611872146,55.25067750677507,53.994783060393324,40.33031482161412,1016530575.6290281,0.10827142820424385,0.03141922531356911,0.07685220289067474,17.695459048279137,97.7221,6.5515
2011-09-30,15.907250000000001,15.573211732452389,1250.5062785388127,1321.1729452054794,55.66552901023891,59.18502391991739,40.9039211180464,2299746721.950671,-0.188478457944381,-0.012560311338020911,-0.1759181466063601,17.604317942150118,90.9354,6.3994
2011-10-31,16.29832142857143,15.470116834792071,1479.4450386215092,1353.485865233045,58.7029089175012,63.54573001826321,41.474399540407326,1204692653.4570823,-0.23614884215832355,-0.05727801750208144,-0.1788708246562421,17.545942478081027,100.8608,6.9276
2011-11-30,16.58032142857143,15.491434590153128,1562.342621912603,1430.7646463576414,56.59582999198075,63.92271445952105,42.074487531215475,498889816.2998992,-0.2045954526717182,-0.08674150453600879,-0.1178539481357094,17.50001312389553,100.4509,7.2595
2011-12-30,16.711714285714287,15.27390997813271,1385.2197278911565,1475.6691294750897,52.93292303767598,60.425439811647315,42.645977281839784,1323986612.6407557,-0.31873914520874536,-0.1331410326705561,-0.18559811253818925,17.466885693546082,101.4996,6.7783
2012-01-31,16.794642857142858,15.20672198104835,1476.2197278911565,1474.5940258983053,51.89205045467878,60.22182975710264,43.23669682747658,632184850.7826575,-0.3319430166242654,-0.17290142946129797,-0.15904158716296743,17.430360248100133,106.2066,6.8474
2012-02-29,16.776785714285715,15.199159050241903,1514.2197278911565,1458.55306122449,49.57294157840792,60.55315089751715,43.83143076402611,-260010156.23673093,-0.3081917134127856,-0.19995948625159551,-0.1082322271611901,17.405176437629304,110.8165,7.2844
2012-03-30,16.167857142857144,15.225271176876317,1538.7197278911565,1509.7197278911565,29.697547035008327,51.037037809435255,44.41345937930663,-971892997.814943,-0.26652682669823236,-0.2132729543409229,-0.05325387235730947,17.38026223515231,114.38,7.1627
2012-04-30,15.477857142857143,14.92856835329281,1299.0043402777778,1450.6479320200303,28.174423859014908,41.124246757397245,45.016928566892766,-64810380.0806669,-0.42190018523585415,-0.2549984005199092,-0.16690178471594497,17.344626535209535,113.6165,6.7949
2012-05-31,15.047142857142857,14.595425906187103,1241.7325966850829,1359.8188882846725,33.702702702702695,46.39345458798703,45.66226713823062,941108595.3355497,-0.5842935551985402,-0.3208574314556354,-0.2634361237429048,17.290391172821952,106.7931,6.0509
2012-06-29,14.605714285714287,14.492035785362155,1380.7325966850829,1307.1565112159813,33.1607629427793,53.778952711484976,46.33901248099523,215633706.40581977,-0.5939830210644796,-0.3754825493774043,-0.21850047168707537,17.241921990573456,111.1213,6.3076
2012-07-31,14.141428571428573,14.365097680647201,1352.6521739130435,1325.0391224277364,32.51748251748252,50.07258722842032,47.033192730615134,816541505.6803776,-0.6171416279843509,-0.4238143650987936,-0.1933272628855573,17.207746227161035,112.4358,6.316
2012-08-31,14.005357142857145,14.320417989894242,1400.8876611418048,1378.090810579977,43.63939899833055,58.0042841238336,47.730656585227436,185227429.99072528,-0.5891645635713232,-0.45688440479329956,-0.13228015877802363,17.177550155063,115.2527,6.3633
2012-09-28,13.970357142857143,14.189695591241676,1331.8876611418048,1361.8091653988843,48.19321533923304,60.19724899517527,48.42326971693198,885616095.1540617,-0.6155738200731253,-0.48862228784926476,-0.12695153222386057,17.145783970266255,118.175,6.5155
2012-10-31,13.875,13.894402845742786,1195.3876611418048,1309.3876611418048,45.366192294342234,65.49474195712685,49.13273511127062,1759457767.4239972,-0.7381386356221373,-0.5385255574038393,-0.199613078218298,17.109437351099924,116.0245,6.6526
2012-11-30,13.836428571428572,13.637815799643748,1195.0608695652174,1240.7787306162757,48.01616458486407,57.36773609779175,49.878789813496034,2670810158.346782,-0.826152224606437,-0.5960508908443589,-0.2301013337620781,17.061114489541573,116.6811,6.7785
2012-12-31,13.655,13.454107026357915,1224.0608695652174,1204.8364667574133,39.061154177433245,55.04881754534902,50.653365609765956,1761267979.1357088,-0.8625599968920703,-0.6493527120539012,-0.2132072848381691,17.02434160354427,117.7311,7.0285
2013-01-31,13.414285714285713,13.29489275617686,1224.0608695652174,1214.394202898551,34.36920222634508,52.04077723746397,51.43243292196127,1761267979.1357088,-0.88125486125384,-0.695733141893889,-0.185521719359951,16.98472091306409,123.7577,7.9651
2013-02-28,13.328571428571431,13.210240388686614,1264.0608695652174,1237.394202898551,43.62380446333688,59.05862645753443,52.2228815804005,877674901.4871353,-0.8539502124061773,-0.7273765559963468,-0.12657365640983054,16.943373004567736,125.3368,8.9044
2013-03-28,13.19,13.159541670195066,1281.0608695652174,1256.394202898551,38.81199538638985,57.14510172409083,53.02633921200851,76753173.83856177,-0.8092648013442645,-0.7437542050659303,-0.06551059627833422,16.917388212018896,130.0965,9.1212
