Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ
2010-01-29,67.21142857142857,72.95733807099806,8202.127948236277,8348.738778130812,73.0775254502741,65.33252248884213,46.42188033074748,2338942989.1921377,0.9739761200812751,-2.3479742912228754,3.3219504113041505,68.16120456582306,83.4351,4.9752
2010-02-26,69.55642857142857,74.60035966153166,8527.127948236277,8491.461281569611,74.50365726227795,65.57118247039233,47.268842724132526,3551670440.5614223,1.8325226395615744,-1.5118749050659854,3.34439754462756,68.51890865312585,86.0379,5.1521
2010-03-31,72.53357142857142,76.79097837332743,9101.968539813408,8610.408145428655,79.9253302699598,71.56799852303067,48.078665869649875,4808868347.020528,2.9429790563673777,-0.6209041127793128,3.5638831691466906,69.06047362764797,91.278,5.8408
2010-04-30,74.92785714285715,78.58284792355045,9021.994055972922,8883.696848007536,76.569435637286,71.09245818139988,48.98969255225688,3629439980.327178,3.7156388808577674,0.24640448594810332,3.4692343949096642,69.46742861583125,92.6901,5.8076
2010-05-28,76.13214285714285,77.76646820041039,7244.7688811349335,8456.243825640422,60.57185854025583,65.25924291175755,49.95373870121174,2660059937.3936195,2.8611058216310568,0.7693447530846941,2.091761068546363,69.97800664046008,85.3254,5.1411
2010-06-30,76.54571428571428,76.83093910702235,7073.520106144111,7780.094347750655,54.01581356637537,56.20766721343682,50.780063927187506,1867032668.3888917,2.0225844125886994,1.0199926849854952,1.0025917276032041,70.16012162116192,80.9104,4.9171
2010-07-30,76.94857142857143,76.3668138927527,7333.52010614411,7217.269697807718,53.91993327773145,49.340426632281684,51.44026264864375,2641501243.765531,1.5499812070701608,1.1259903894024283,0.4239908176677325,70.23862024041152,86.4367,5.3845
2010-08-31,77.42857142857143,75.38190537371901,6896.520106144111,7101.186772810778,54.74174428450467,50.50549334621935,51.96745739567088,1960892830.5650578,0.8134404482500059,1.0634804011719439,-0.2500399529219379,70.25378024176865,82.5487,4.953
2010-09-30,78.05714285714285,75.23231799055648,7423.990214294563,7218.010142194263,56.03235536057034,57.440395137780186,52.44270824775746,2778057256.1786394,0.6483052047498887,0.980445361887533,-0.3321401571376442,70.28518971069941,89.9412,5.3734
2010-10-29,78.56142857142856,75.62267559181562,7813.990214294562,7378.166844911079,54.95786516853933,57.820848022302215,52.89325408280231,3630500963.223719,0.8226487580788557,0.9488860411257976,-0.12623728304694182,70.40770652601995,93.3772,5.838
2010-11-30,78.9,75.3863188462402,7382.990214294561,7540.323547627896,53.223612622415665,53.62741120018202,53.452989001146264,2837798638.695196,0.6060501316775486,0.8803188592361478,-0.2742687275585992,70.47986733491533,93.3772,5.9376
2010-12-31,78.51571428571428,74.7188096667415,7035.990214294562,7410.990214294562,46.17571794142734,44.728752866487476,53.99332922112334,2153264340.19946,0.1526346821417519,0.7347820238172686,-0.5821473416755167,70.56661222591428,99.6189,6.5626
2011-01-31,77.7192857142857,74.06963504450931,6982.990214294561,7133.990214294562,41.50540911168672,39.52123937899043,54.548462636700876,1500142731.7699494,-0.24662397127964653,0.5385008247978856,-0.7851247960775322,70.56071157012137,101.94,6.77
2011-02-28,76.69000000000001,73.9336837052414,7302.990214294562,7107.323547627896,38.44797178130512,35.891245376775515,54.92849338396686,2133459882.1208577,-0.3013522727205782,0.3705302052941929,-0.6718824780147711,70.6127637340167,105.4812,7.9121
2011-03-31,76.08928571428571,73.89185921120922,7359.990214294562,7215.323547627896,42.68822813423753,35.33223814181552,55.371523516287525,2787227041.579234,-0.2953262721660792,0.2373589098021385,-0.5326851819682177,70.66836169573277,105.4924,7.1461
2011-04-29,75.57785714285714,74.45561131638132,7809.990214294562,7490.990214294562,43.90742001361471,34.369325090468934,55.78289304596177,3496584699.6435184,0.07173485387708922,0.20423409861712866,-0.13249924474003943,70.74333234083451,108.5477,7.5001
2011-05-31,74.86571428571428,75.33619647419715,8103.990214294562,7757.990214294562,41.09025915996425,33.200069192440026,56.247235185042534,4295623553.026952,0.593030780504904,0.28199343499468377,0.3110373455102202,70.8771351825063,107.3304,7.0576
2011-06-30,74.43928571428572,76.52603694430421,8423.538869927948,8112.5064328390245,44.88431876606684,36.76734395079355,56.748290481341684,5205700152.02442,1.2499659847801894,0.4755879449517849,0.7743780398284045,71.1842542512745,105.5178,6.9967
2011-07-29,75.37357142857142,77.72789868506365,8551.497107597377,8359.675397273297,65.62350692785478,47.77568679250779,57.36052467171485,6063328261.395332,1.8525224441436734,0.7509748447901627,1.1015475993535107,71.43585771341,103.407,6.6566
2011-08-31,76.59714285714286,79.08151219372182,8785.497107597377,8586.844361707566,70.15768416097906,48.18478669347345,58.02991417828055,7057396399.023702,2.49016613801372,1.0988131034348743,1.3913530345788456,71.72612453190366,97.7221,6.5515
2011-09-30,77.48071428571428,79.96664390122558,8569.82579564489,8635.606670279882,64.70868014268729,54.99226768913418,58.64631589471494,6132068847.134462,2.78905887665249,1.4368622580783974,1.3521966185740926,71.99535123105649,90.9354,6.3994
2011-10-31,79.215,81.73909138106218,9323.904423635777,8893.075775626015,76.84652808491818,61.39774568369916,59.36838957682064,7123541665.972854,3.592931433971728,1.8680760932570637,1.7248553407146643,72.2560815584964,100.8608,6.9276
2011-11-30,80.83714285714287,83.76987919692056,9694.821814608582,9196.184011296416,76.01374570446735,60.45241781668427,60.09842178528423,8197963642.993063,4.477755444019891,2.3900119634096293,2.087743480610262,72.50531629947625,100.4509,7.2595
2011-12-30,82.50642857142857,86.13789530399782,10151.200270635994,9723.30883629345,76.37102234258633,60.432573265290124,60.83705334957855,9314923308.584702,5.48372576022264,3.008754722772232,2.474971037450408,72.79231025915287,101.4996,6.7783
2012-01-31,84.42,88.07150926346478,10062.236074270557,9969.419386505046,82.75862068965517,65.17109455398248,61.689312282586975,8214221330.386589,6.138389389609728,3.6346816561397315,2.503707733469996,73.07676346651388,106.2066,6.8474
2012-02-29,87.705,91.84464136166947,11635.697974927676,10616.37810661141,93.26434619002822,75.51742700245626,62.539526036935236,9376172134.774225,7.836164148934529,4.474978154698691,3.3611859942358375,73.53399725739447,110.8165,7.2844
2012-03-30,91.14428571428572,95.33202251344689,11798.609317434537,11165.514455544258,94.3778801843318,82.4657803055303,63.67593551619653,10553620132.733688,9.207057032748168,5.421393930308587,3.785663102439581,73.89044580765494,114.38,7.1627
2012-04-30,94.71071428571429,99.01841951165397,12296.689546130952,11910.332279497723,94.55648759593076,82.35923110058579,64.8163368058726,11773790650.3568,10.573459639351455,6.451807072117161,4.121652567234294,74.27064517660152,113.6165,6.7949
2012-05-31,97.68071428571429,101.17596357676678,11518.60049770291,11871.299787089467,82.87476280834915,81.05411169125901,66.00421006975515,10611796226.118902,10.90288094493124,7.342021846679978,3.560859098251263,74.8219355321446,106.7931,6.0509
2012-06-29,100.93142857142857,104.16983509986454,12361.60049770291,12058.96351384559,83.87673068334078,81.43011921974413,67.19112586836005,11832618325.710186,11.709203837394796,8.215458244822942,3.4937455925718535,75.2416044795751,111.1213,6.3076
2012-07-31,104.3607142857143,107.48985708654928,12905.765867656988,12261.988954354269,84.45528922061145,81.617263826444,68.34630335099284,13090647428.320337,12.641460190893085,9.100658634036972,3.5408015568561133,75.71398411082913,112.4358,6.316
2012-08-31,107.50285714285714,110.25787614167604,12823.652204710466,12697.006190023456,82.68687769356518,80.33472438656575,69.62637728397299,11847851614.041058,13.16238513803971,9.91300393483752,3.2493812032021907,76.07196598869606,115.2527,6.3633
2012-09-28,110.98428571428572,113.46082598945256,13426.742814667989,13052.053629011813,83.82842865074959,80.11507555325292,70.88544973829353,13122971236.980131,13.901544169131341,10.710711981696285,3.1908321874350563,76.50970287948091,118.175,6.5155
2012-10-31,114.61857142857143,116.83404919085889,13874.669001466036,13375.021340281497,84.29495820976005,90.3176975268555,72.20074074352766,14394971173.406446,14.679614131734382,11.504492411703906,3.175121720030477,76.94260862175192,116.0245,6.6526
2012-11-30,119.18928571428572,121.21750929874437,14969.802257402522,14090.404691178848,88.56213089068339,90.19842275843492,73.61872592865711,15726930770.18364,15.995428328853748,12.402679595133876,3.5927487337198727,77.46278099012643,116.6811,6.7785
2012-12-31,123.355,125.26584139224514,15156.60693550918,14667.02606479258,87.72315653298837,90.08732669062655,75.14495141008398,17097243246.836027,16.993226593504488,13.320788994807998,3.67243759869649,77.93309660144948,117.7311,7.0285
2013-01-31,127.70785714285715,129.61839587327913,15789.596426461902,15305.33520645787,88.12562562562563,90.2070236226775,76.6922523818823,18461647011.27122,18.086279631695177,14.273887122185435,3.812392509509742,78.50030429708823,123.7577,7.9651
2013-02-28,131.78714285714287,133.48794309017524,15862.474084419613,15602.89248213023,87.5279274543304,82.45758999414441,78.41380733424465,19846577711.908195,18.7947823866116,15.178066175070668,3.6167162115409326,79.074675988228,125.3368,8.9044
2013-03-28,136.73,138.3348840114852,16982.570124009522,16211.546878297013,90.0462962962963,82.87936848995653,80.06313118755976,21286845291.0792,20.0291388767984,16.148280715416217,3.880858161382182,79.73191586512016,130.0965,9.1212
2013-04-30,140.45071428571427,142.3515661432872,16844.10431347047,16563.04950729987,86.14850798056906,82.68375472998426,81.88106856380857,19821692880.426716,20.657889530058156,17.050202478344605,3.607687051713551,80.25941990541672,132.5959,8.3249
2013-05-31,144.74642857142857,147.12335732418222,17812.46573117562,17213.046722885203,87.54057428214732,83.51682579493486,83.6632471925324,21315244701.78343,21.687276628423405,17.977617308360365,3.7096593200630394,81.1153638811392,135.7265,8.884
2013-06-28,149.0157142857143,151.8735763476246,18273.472639476928,17643.34756137434,87.48275429574817,83.96885063842399,85.68798224868175,22838686410.888832,22.614377327958323,18.904969312279956,3.709408015678367,81.82946746694614,133.9131,9.298
2013-07-31,153.43071428571426,155.22509950127468,17699.66832936989,17928.53556667415,89.77989445231047,92.96434752198462,87.67882260370811,21358810522.095306,22.625132835252515,19.64900201687447,2.9761308183780457,82.7791679272562,140.8333,9.1874
2013-08-30,157.0585714285714,157.7844195677714,17440.451235370612,17804.530734739146,85.34446764091858,81.9672678484015,89.84524615163394,19940125218.99397,22.169113556520017,20.15302432480358,2.0160892317164354,83.76668751957739,136.6094,8.4672
2013-09-30,161.48928571428573,162.22649695873523,19108.3236508994,18082.814405213303,87.32699482488867,82.46467840699735,91.75114122860127,21376165731.200306,22.889792314703726,20.700377922783613,2.1894143919201134,84.60254979859764,140.9374,9.1434
2013-10-31,166.37642857142856,166.81896403090386,19665.378671775223,18738.051186015076,88.94581056466302,83.15288494192471,93.93331840402925,22833677363.454376,23.637904819665863,21.28788330216006,2.3500215175058017,85.42176944327292,147.4637,10.0887
2013-11-29,171.31785714285712,171.70443549345003,20344.083688547882,19705.928670407502,89.04063205417606,83.3619722654501,96.15965203594867,24326132607.545704,24.496307439568767,21.929568129641805,2.5667393099269624,86.07626863960985,151.8342,11.1879
2013-12-31,177.31214285714287,178.5011774276567,22266.354555172824,20758.605638498644,90.603832010838,84.09175902687,98.3378569952297,25888757391.954765,26.42290427921273,22.82823535955599,3.5946689196567405,87.06734204677257,155.7661,11.3712
2014-01-31,182.0064285714286,183.42502043730246,21541.36577181208,21383.934671844265,82.9787234042553,84.79665231343618,100.8254998553251,24399112189.125816,27.05288295096554,23.673164877837902,3.3797180731276377,88.16891905038715,150.2756,10.8997
2014-02-28,187.31785714285712,189.09368437899548,22592.11290915778,22133.277745380896,84.33690432212781,77.93931459945418,103.5189898582186,25929411140.726696,28.07656558039048,24.55384501834842,3.5227205620420605,89.00179712107857,157.1155,10.9683
2014-03-31,191.45714285714286,192.66252646179606,21584.10545722714,21905.861379398997,75.863607962153,70.52375785830513,106.01821006105423,24433656773.91137,27.754532705092174,25.193982555697172,2.5605501493950023,89.9336453949966,158.4213,10.5889
2014-04-30,194.59785714285712,193.98885626688994,20259.04961162616,21478.422659337026,67.65154556403051,66.77717761954045,108.55124585983314,22970210720.42103,26.128956717834626,25.380977388124663,0.7479793297099633,91.11477167396484,159.5225,10.5774
2014-05-30,197.8114285714286,196.76767543130464,21480.827428263507,21107.9941657056,67.91431074301187,66.92843411224192,110.74339294263648,24479106623.10056,25.532406223911096,25.41126315528195,0.12114306862914503,91.8092668243607,163.2245,10.8641
2014-06-30,200.8292857142857,198.62665204046402,21068.724617524338,20936.200552471335,66.46403242147923,61.79563058066078,112.84752508378375,22979742513.499786,24.445394797345216,25.218089483694605,-0.7726946863493893,92.44096874477054,166.5923,11.116
2014-07-31,203.17714285714285,200.2777651017355,21098.349403193304,21215.96714966038,63.819053224585886,61.45934591739262,114.90437458210808,24423691323.10056,23.339099294510476,24.842291445857782,-1.5031921513473065,93.15086782592964,164.3537,12.1435
2014-08-29,205.30357142857142,201.91006308817077,21249.349403193304,21138.807807970315,62.85072951739619,56.12519067370801,117.10128709046592,25862269784.89745,22.32682675759426,24.33919850820508,-2.012371750610818,93.7080772198776,170.8397,12.5119
2014-09-30,207.90071428571426,203.43805467641468,21334.279033022594,21227.325946469737,66.38723634396972,55.10278862125593,119.1192613486566,27295351613.86643,21.347105234282765,23.74077985342062,-2.3936746191378546,94.33668871298867,168.4836,12.252
2014-10-31,212.68714285714287,208.50364738622605,24140.404744255004,22241.3443934903,74.56198225936515,64.24896659458443,121.10987612168346,28805616375.647076,22.574649850101025,23.5075538527567,-0.9329040026556754,95.42699157037072,172.4516,12.4946
2014-11-28,217.4792857142857,215.1284944013959,25816.731326363522,23763.80503454704,74.57689208000586,64.15417281281205,123.53767859924979,30360694670.194553,24.61612041975806,23.729267166156973,0.8868532536010889,96.24565441495173,177.1892,12.9711
2014-12-31,222.16000000000003,221.40469514787645,26217.383995703545,25391.506688774025,74.28296153561107,64.16736258760778,126.25692502726478,31923895485.15865,26.254923624819725,24.234398457889526,2.0205251669301987,97.08810287033215,176.7355,13.8974
2015-01-30,225.835,225.8720691281596,25488.383995703545,25840.833105923535,68.99505279480175,57.470947084437746,129.11818652671948,30366153304.318745,26.658146379499726,24.719148042211568,1.938998337288158,97.98198902037666,171.499,13.2136
2015-02-27,229.3085714285714,231.93045991107167,27128.55410494602,26278.107365451036,68.33572128798734,57.00426156275848,131.87082279618508,31960428809.984455,27.978527211462705,25.3710238760618,2.6075033354009065,98.80459354579352,181.138,14.5349
2015-03-31,218.59285714285716,209.72773192292877,6540.695641997847,19719.211247549134,27.356155285878145,47.74838099512476,65.02,30502353698.822323,12.26909877825463,22.750638856500366,-10.481540078245736,99.3112058562851,178.286,14.8058
