SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ,PC1,PC2,PC3
202.878,205.34535133336996,21392.87234042553,21204.475820083742,75.35661841829243,80.78518403964577,114830.00790832116,43272708128.457,88.0501317719878,5.59739740990974,0.7298434534388348,-0.8132970922939405,-2.84780897391542
204.12085714285715,206.5499711555873,21430.2326148841,21295.994171740826,74.03580506133275,81.24662919777147,117122.3604664876,44512627121.88029,88.2832125055234,5.61399048523556,0.7330705002756982,-0.8178586390073833,-2.813737431610356
205.32085714285716,207.13930833484235,21089.2326148841,21304.112523397907,72.82856832264379,79.14447661299262,119460.54267581734,43290491342.74272,88.3453673677996,5.61122497268126,0.7410701624479309,-0.8986769793362793,-2.704088564440335
206.43157142857143,207.59806722353,21050.2326148841,21189.899281550766,71.4034025216099,72.44502946726895,121845.53852933367,42067720158.859375,88.7182965414567,5.53655613371507,0.7650149537240934,-1.0842912070517015,-2.419999354144397
207.86871428571428,208.18232492705937,21189.622444541103,21109.69589143644,79.11216575992592,78.09508597487455,124278.26829992035,43306259944.78353,89.0135321372685,5.59463189735544,0.7354643124372462,-0.7818535302626505,-2.860491391810474
208.91728571428573,208.43934827011813,21001.177208835343,21080.34408942018,72.33990747504266,70.81362628805698,126759.65246591876,42072182815.12312,89.1378418618208,5.60845946012696,0.7657665716373556,-1.0940594526797307,-2.3851631869057632
209.5951428571429,208.34343516743573,20760.2658003544,20983.688484576956,64.6242988349874,62.05110060984332,129290.67651523717,40842858827.25375,88.306520578877,5.51166652072634,0.8068436482167102,-1.469735350230347,-1.833954698870217
210.33014285714285,208.65097714511097,21051.413396481734,20937.61880189049,65.47554593033749,63.520180274954726,131872.36164554188,42092047607.21682,89.0523789261911,5.56421125925811,0.7987062478012764,-1.4024710849260813,-1.903027793434594
210.8537142857143,208.75484685909615,20926.38643790849,20912.68854491488,61.19904662959118,64.03871186245287,134505.72687845273,40849515431.42041,89.2932290175113,5.60016292246405,0.8050700904902286,-1.487501011019939,-1.7894560116356653
210.63157142857145,208.3782006112167,20575.236727589207,20851.01218732648,44.690295704432174,56.27752448070747,137191.66101602177,39627755626.828186,88.2909818633079,5.57527330947532,0.8527265457898137,-2.0295423799535097,-0.9963073643496969
210.87657142857145,209.26644052972117,21486.236727589207,20995.95329769564,54.787026182102366,56.81460247169728,139931.3768363422,40874603293.68456,89.3942306687101,5.56697677181241,0.8503159845907915,-1.7737937820302552,-1.318590439080539
211.06407142857145,209.5942484590917,21154.736727589207,21072.07006092254,53.58303076629086,55.48577896905018,142725.85957306906,39633537471.45628,88.485215807921,5.51166652072634,0.8632931376637798,-1.8441813797305475,-1.2426756516966364
210.8092142857143,209.39128199787945,20789.436727589207,21143.47006092254,45.27342094107674,48.631159569296855,145576.18676453043,38408056756.87243,86.7837264531107,5.24617731551323,0.911894041970622,-2.200134251992922,-0.7499574346940037
209.88192857142857,207.83911106482887,19764.30222463375,20569.49189327072,36.235633402604,41.30345045232327,148483.56629982105,37210473911.92107,84.8491563647647,5.07195002459213,0.9243305802828646,-2.603128205710542,-0.22741636044711358
209.10085714285717,207.203896256185,20296.80222463375,20283.5137256189,38.88832435728074,44.89021272952441,151449.29442581747,38418690123.16954,85.2842404006979,5.07471553714643,0.9063522191533164,-2.457210662179346,-0.43545444325714355
208.498,207.03537675536035,20583.278955954323,20214.794468407275,41.8375241779497,51.776358059529045,154474.27651433382,39600484966.49349,84.9268499426099,5.00557772328885,0.8889633901778783,-2.2373631996342342,-0.7771427501268053
208.27757142857143,207.1485265213123,20777.67895595432,20552.5867121808,46.928375204045054,46.43667884565526,157559.7104446205,40813777713.43768,85.3308565474051,5.07471553714643,0.8944008274490473,-2.229246242962381,-0.7329734126276812
207.4711428571429,206.1007229851373,19918.278955954323,20426.41228928766,40.34018960265578,43.855462455001486,160706.9140335129,39635123010.0229,84.3519174665553,5.0442948990491,0.8958769569866948,-2.4558240104121083,-0.44806238346656846
206.0485,204.22902658711905,19198.78023715415,19964.912716354265,34.50400684665057,37.69255624432213,163917.07831418316,38487464444.6165,83.4351332479817,4.97515708519152,0.8972912511440019,-2.751519516319728,-0.06039080137193301
204.94992857142856,202.9624897088365,19465.480237154152,19527.51314342088,38.180504749316015,37.00372592340334,167191.61488046683,39647431011.72504,84.7326159979969,5.09407412502656,0.865304536097921,-2.6790804970554527,-0.1437258590922237
204.10278571428572,202.01549108099164,19578.480237154152,19414.24690382082,40.70562051346354,41.972630514088245,170531.62117807617,40824533774.75194,85.7581712255538,5.13832232589541,0.8325468214509516,-2.5058061477849782,-0.3970371807305616
203.28707142857144,201.64409227019277,19915.480237154152,19653.14690382082,41.111733756732335,41.87254743373091,173938.3860016377,42016236510.097176,85.3308565474051,5.27106692850196,0.8348998633732919,-2.484152378618115,-0.3969723822361586
202.04564285714284,200.3648799675004,19197.480237154152,19563.813570487484,37.62143528674397,37.64008964287655,177413.26532167045,40847772680.634285,82.6970442584521,5.07609829342358,0.8539300950430108,-2.692120353086769,-0.15967590732712328
201.2977857142857,199.71089597183365,19538.480237154152,19550.480237154152,42.53337517115472,43.088139767343456,180957.69922810383,42040236154.17484,82.8679701297116,5.19916360209008,0.8260695645663365,-2.4532890744069897,-0.5042986302253242
199.8035,198.9654431755892,19404.480237154152,19380.14690382082,33.22158416476853,41.77813438918407,184573.03621266596,40863797217.74769,82.2697295803034,4.99175016051734,0.8500912330608791,-2.703333864430267,-0.17745189813515166
