Date,Pos_lag1,Pos_lag2,Pos_lag3,Pos_lag4,Pos_lag5,Neg_lag1,Neg_lag2,Neg_lag3,Neg_lag4,Neg_lag5,Neu_lag1,Neu_lag2,Neu_lag3,Neu_lag4,Neu_lag5
2010-01-08,-0.33779782,-0.39718884,-0.7712724,-0.5858476,-1.3880105,-0.2704379,-0.50976807,-0.42767024,-0.055187937,2.037136,1.0328085,1.3113029,1.645177,1.0747739,0.18480477
2010-01-15,-1.1123719,-1.157942,-1.2955565,0.3918112,-1.7184637,1.240757,1.1561905,1.2176169,-1.2187762,2.3086138,0.65902907,0.7896437,0.94767237,0.8919244,0.31172478
2010-01-22,-0.917268,-0.6137144,-0.896956,-0.61389804,-1.309655,0.5111289,-0.015121283,0.964131,-0.12646742,1.1440094,1.0494919,1.1029521,0.3852224,1.1755158,1.1617658
2010-01-29,-0.7109758,-0.6870802,-0.3731757,-0.9055668,1.2783562,0.31076705,0.44228694,0.38622436,0.8599126,-1.3622904,0.9847739,0.85609585,0.2643853,0.70226365,-0.96273094
2010-02-05,-1.1393971,-1.1034064,-0.3799293,-0.44672346,-0.20070101,1.5274583,0.92414474,-0.72880256,0.046398852,1.2504122,0.18143865,0.8715331,1.6278749,0.89662045,-1.4713306
2010-02-12,-0.94588834,-0.91104066,-0.49844614,-0.51797557,-0.8912386,0.65586036,0.49777517,-0.3539213,-0.18826512,0.41455585,0.8769231,1.032797,1.444767,1.0213157,1.1304411
2010-02-19,-0.53131276,-0.88423055,-1.0728366,-1.0144169,-1.3347324,0.3968079,0.6593063,0.70638806,1.2717321,2.058052,0.59209955,0.69730496,1.1399919,0.30894253,0.22594611
2010-02-26,-0.99645936,-1.0767252,0.0800004,-0.5905465,-1.2523582,0.6021556,0.68871546,0.03545946,-0.03175268,-0.22342682,1.0850348,1.1657748,0.20866701,1.2915609,2.1794424
2010-03-05,-0.8380085,-0.6166827,-0.30217946,-1.0829177,-0.5008753,0.90218645,0.56682444,-0.14879961,1.2485437,0.39909562,0.5493773,0.52461517,0.94502926,0.5104899,0.3669996
2010-03-12,-0.741546,-0.6676773,-0.9327116,-0.077022165,0.79371893,0.29797694,0.39415005,0.105791286,-0.92651945,-0.9938836,0.9938486,0.96144783,1.4108953,1.2266209,-0.2465626
2010-03-19,-0.21175162,-1.0119269,-0.4574549,-0.68614244,-1.1817839,-0.37318566,0.8347231,0.8966296,0.3504657,1.8852137,0.8843269,0.8490558,-0.095944844,0.79250747,0.21729015
2010-03-26,-0.5727794,-1.1814774,-0.613183,-0.67433864,-0.019749224,0.10489823,1.2106577,0.051906984,-0.10949188,-0.5041113,0.8389974,0.72138464,1.1868949,1.4049027,0.8325184
2010-04-01,-0.6415186,-0.4509739,-1.1389471,-1.1943345,-0.9798909,0.12105125,0.70641285,1.0837517,1.7644167,0.581382,1.1664897,-0.09921674,0.66138476,0.15534228,1.0412563
2010-04-09,-0.5116196,-0.7427209,-1.0587444,-0.9704062,-0.38237384,0.12571876,0.8893527,0.95429873,0.9381509,0.13949354,0.83082837,0.45009917,0.89892304,0.57063276,0.77134633
2010-04-16,-0.48987395,-1.1640046,-0.41257533,-0.39445063,1.6412799,0.40804648,1.4145651,-0.42571065,-0.0826593,-2.4609005,0.59924334,0.41099793,1.3836256,0.8597307,-0.05606359
2010-04-23,-0.045939807,-0.9449295,-1.2684985,-1.10026,-1.3568563,-1.0423183,0.8048549,1.4245604,1.1305071,2.0769975,1.5769299,0.8926159,0.8320172,0.6824204,-0.041963607
2010-04-30,-0.6337616,-0.39175573,-0.7371969,-0.7267128,0.34601462,0.80496585,0.1461828,-0.33249965,0.33084685,-1.1626787,0.4003341,0.6028536,1.668824,1.0285205,0.7371298
2010-05-07,-1.005003,-1.1464093,-0.9548384,-1.0509909,-0.7483639,0.8678582,0.7155826,0.50850886,0.20633547,0.4985592,0.8720581,1.2052684,1.1638924,1.503397,0.79648674
