gvkey,permno,adate,qdate,public_date,pcf,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,staff_sale,accrual,PEG_trailing,TICKER
012141,10107,06/30/2009,12/31/2009,02/28/2010,11.996,0.284,0.277,0.842,0.332,0.427,0.065,0.916,1.231,1.849,11.904,2.777,2.626,0.146,0.000,-0.063,0.910,MSFT
012141,10107,06/30/2009,12/31/2009,03/31/2010,12.243,0.284,0.277,0.842,0.332,0.427,0.065,0.916,1.231,1.849,11.904,2.777,2.626,0.146,0.000,-0.063,0.930,MSFT
012141,10107,06/30/2009,12/31/2009,04/30/2010,12.767,0.284,0.277,0.842,0.332,0.427,0.065,0.916,1.231,1.849,11.904,2.777,2.626,0.146,0.000,-0.063,0.970,MSFT
012141,10107,06/30/2009,03/31/2010,05/31/2010,10.135,0.266,0.290,0.846,0.321,0.425,0.081,0.912,1.334,1.932,12.411,2.762,2.368,0.144,0.000,-0.064,1.119,MSFT
012141,10107,06/30/2009,03/31/2010,06/30/2010,8.925,0.266,0.290,0.846,0.321,0.425,0.081,0.912,1.334,1.932,12.411,2.762,2.368,0.144,0.000,-0.064,0.998,MSFT
012141,10107,06/30/2009,03/31/2010,07/31/2010,10.011,0.266,0.290,0.846,0.321,0.425,0.081,0.912,1.334,1.932,12.411,2.762,2.368,0.144,0.000,-0.064,1.120,MSFT
012141,10107,06/30/2010,06/30/2010,08/31/2010,8.435,0.242,0.300,0.842,0.325,0.436,0.097,0.865,1.407,2.129,13.573,2.697,2.116,0.139,0.000,-0.065,0.699,MSFT
012141,10107,06/30/2010,06/30/2010,09/30/2010,8.710,0.242,0.300,0.842,0.325,0.436,0.097,0.865,1.407,2.129,13.573,2.697,2.116,0.139,0.000,-0.065,0.730,MSFT
012141,10107,06/30/2010,06/30/2010,10/31/2010,9.477,0.242,0.300,0.842,0.325,0.436,0.097,0.865,1.407,2.129,13.573,2.697,2.116,0.139,0.000,-0.065,0.794,MSFT
012141,10107,06/30/2010,09/30/2010,11/30/2010,8.260,0.220,0.313,0.848,0.353,0.460,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,0.000,-0.065,0.574,MSFT
012141,10107,06/30/2010,09/30/2010,12/31/2010,8.965,0.220,0.313,0.848,0.353,0.460,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,0.000,-0.065,0.634,MSFT
012141,10107,06/30/2010,09/30/2010,01/31/2011,8.905,0.220,0.313,0.848,0.353,0.460,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,0.000,-0.065,0.630,MSFT
012141,10107,06/30/2010,12/31/2010,02/28/2011,8.801,0.231,0.308,0.833,0.338,0.445,0.130,0.895,1.576,2.233,13.311,3.077,2.105,0.134,0.000,-0.055,1.032,MSFT
012141,10107,06/30/2010,12/31/2010,03/31/2011,8.435,0.231,0.308,0.833,0.338,0.445,0.130,0.895,1.576,2.233,13.311,3.077,2.105,0.134,0.000,-0.055,0.986,MSFT
