Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ
2017-07-20,18066.84349651513,18139.31317027793,2.441977830745514,2.5653935472738496,2.8253122955172616,1.0868335486952563,2.1351792883272402,4.710740015214936,4.320269363369229,146776.70888514485
2017-07-21,18065.754403678668,18138.9812491298,2.441952672713994,2.553821133464035,2.817304216292857,1.0877630823997377,2.1354514018386075,4.727431118500945,4.323087643045773,146776.72832828
2017-07-22,18064.655542348293,18138.38877485854,2.4419313750637066,2.542044065965446,2.8091494776403843,1.088384704148351,2.13567821221272,4.7408834009727485,4.325980442299218,146776.6514712797
2017-07-23,18063.55019322764,18137.543187269774,2.4419140170395615,2.530111850576794,2.8008857382894443,1.088662329761398,2.135854098273735,4.751007052708294,4.3289270703711376,146776.47596147243
2017-07-24,18062.44186277189,18136.453289139754,2.4419006516372677,2.5180758385158266,2.7925522198289934,1.088563003875562,2.135973896370551,4.757747152451876,4.331906082689705,146776.1997539071
2017-07-25,18061.334215244617,18135.12917777212,2.4418913060343175,2.505988930805955,2.7841894789193757,1.0880573128435247,2.136032978895907,4.7610838906345005,4.334895464552852,146775.82113297287
2017-07-26,18060.231001753695,18133.582168211607,2.441885982236538,2.4939052629015777,2.775839160965135,1.087119761222711,2.1360273278308104,4.761032426708524,4.3378728211079425,146775.33873340013
2017-07-27,18059.135987313086,18131.824708749453,2.4418846579267197,2.4818798716130552,2.7675437367989204,1.0857291075655353,2.1359536022944527,4.757642384963852,4.340815571889788,146774.7515604564
2017-07-28,18058.05287701057,18129.870289412585,2.441887287500195,2.469968346616916,2.7593462241459465,1.0838686556355273,2.1358091991374986,4.750996996729667,4.343701148130334,146774.05900914644
2017-07-29,18056.985242380535,18127.733344180073,2.4418938032707773,2.458226469045196,2.7512898958456873,1.081526497628446,2.1355923056868478,4.741211900499337,4.3465071910218445,146773.2608822236
2017-07-30,18055.936449085573,18125.429147714643,2.441904116829243,2.4467098398373643,2.7434179770002918,1.0786957064703167,2.1353019438320118,4.728433615009406,4.349211749101283,146772.3574068187
2017-07-31,18054.909587000628,18122.973707434758,2.4419181205355285,2.4354735007066153,2.7357733333952114,1.0753744747902838,2.13493800473622,4.712837703620681,4.351793472926977,146771.3492494926
2017-08-01,18083.829358637646,18152.35052297957,2.451538266208886,2.5410986977274685,2.77576259086546,1.1180289897607278,2.137392582182608,4.629731472283248,4.387565970919791,146919.89389364416
2017-08-02,18082.854197728306,18149.64298676478,2.4515592584926384,2.530583908599501,2.7686980652192372,1.113742296287096,2.1368847523079384,4.6091323004456,4.389841330517826,146918.68019436137
2017-08-03,18081.907941974012,18146.83549447346,2.4515835191310154,2.520507341949109,2.76198406303535,1.1089910134793515,2.13630842870501,4.5863939442251365,4.391935288133429,146917.36657234962
2017-08-04,18080.991963498775,18143.945842447873,2.4516108804601706,2.510917971736692,2.755658812751656,1.1037940835099338,2.135667120152013,4.561784424520231,4.393830732665685,146915.95556434832
2017-08-05,18080.10708086924,18140.991980832852,2.4516411643508964,2.501862315228101,2.749758586510049,1.098175418998106,2.134965220206507,4.535587843660598,4.395512026216621,146914.45019168736
2017-08-06,18079.253524211163,18137.99189618199,2.4516741840797134,2.493384075776819,2.74431739266517,1.0921637038065468,2.1342079769265583,4.508101238473318,4.396965146477565,146912.85396210846
2017-08-07,18078.43090893209,18134.963495598753,2.4517097461926265,2.485523800705645,2.739366679066722,1.0857921400165187,2.133401451487345,4.479631324717722,4.39817781513028,146911.17086883626
2017-08-08,18077.6382185806,18131.924493264687,2.4517476523427164,2.478318557505043,2.734935050030304,1.0790981433867521,2.132552465973504,4.450491167938796,4.3991396110568655,146909.4053867782
