Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,gdpr1_tr,gdpr2_tr,cpi_tr,bond20yr_tr,bond30yr_tr,fedfunds_tr,cpir_tr,wpir_tr,unemp_tr,employ_tr
2010-07-30,15648.991,15726.282,2.1761,3.74,3.98,0.18,1.6366,6.8318,9.4,130427.0,,,,,,,,,,
2010-08-31,15648.991,15726.282,2.1792,3.23,3.52,0.21,1.6366,6.8318,9.5,130422.0,15680.629609217847,15690.013459645737,2.1858089470510262,3.786697426091322,4.126207034454904,0.17921545334470418,2.1527858520887593,7.028481670692207,9.413291076909845,130540.3168206831
2010-09-30,15648.991,15726.282,2.1828,3.38,3.69,0.15,1.6366,6.8318,9.5,130357.0,15700.034595989528,15713.189857412757,2.18787295912673,3.963992518040296,4.202360398891512,0.17040801273266462,2.1288342778185196,7.186976850536865,9.378865311405479,130547.76203366244
2010-10-29,15648.991,15807.995,2.1904,3.64,3.99,0.2,1.6366,6.8318,9.4,130625.0,,,,,,,,,,
2010-11-30,15648.991,15807.995,2.1959,3.8,4.12,0.2,1.6366,6.8318,9.8,130750.0,15736.105667727432,15765.893810854986,2.2004940334606653,3.989964961329729,4.217951787625325,0.15912341501278238,2.0832279571993686,7.544889248824339,9.888276704352691,130913.27375924772
2010-12-31,15648.991,15807.995,2.2047,4.13,4.34,0.13,1.6366,6.8318,9.3,130822.0,15755.068733017719,15789.754951960222,2.2082242322380483,4.069777333094954,4.287261183985171,0.1686114513811634,2.0623857524248996,7.704559381967112,9.258955031657075,131007.57112962333
2011-01-31,15891.534,15769.911,2.2119,4.33,4.58,0.17,3.1397,8.8003,9.1,130841.0,15771.780532199984,15800.877422927193,2.198791014906647,3.961511259886826,4.263234441678403,0.17234809817154964,2.8598625898630456,8.03551934740868,9.225657821529584,130714.24248127379
2011-02-28,15891.534,15769.911,2.219,4.25,4.49,0.16,3.1397,8.8003,9.0,131053.0,15794.624539160406,15825.163781858335,2.210935037880342,3.9341116022144003,4.1666588627747085,0.16348437500305787,2.844701165719703,8.175991404945227,9.08313969490656,131031.45535406795
2011-03-31,15891.534,15769.911,2.2305,4.29,4.51,0.1,3.1397,8.8003,9.0,131288.0,15817.131525587234,15849.327166057632,2.2249059604869337,3.8113855605569897,4.006850482829269,0.14169843024581252,2.8286587899816653,8.315671492403427,9.026897703709011,131281.6796986025
2011-04-29,15891.534,15876.839,2.2409,4.15,4.4,0.09,3.1397,8.8003,9.1,131602.0,,,,,,,,,,
2011-05-31,15891.534,15876.839,2.2481,3.91,4.22,0.1,3.1397,8.8003,9.0,131703.0,15864.236334631401,15896.95497203498,2.248072186032194,3.796194639967465,4.242589357059379,0.08403270711412417,2.7951909927096903,8.592259350008762,9.020815042272734,131366.3734915574
2011-06-30,15891.534,15876.839,2.2481,4.09,4.38,0.07,3.1397,8.8003,9.1,131939.0,15883.985512413594,15921.538079111926,2.2526220644958164,4.229450342022902,4.545367593374978,0.11735070710637108,2.7779801187350306,8.781233150098211,9.099007014291592,131823.57396196944
2011-07-29,15891.534,15870.684,2.254,3.77,4.12,0.11,3.1397,8.8003,9.0,131999.0,,,,,,,,,,
2011-08-31,15891.534,15870.684,2.2611,3.19,3.6,0.08,3.1397,8.8003,9.0,132125.0,15927.585953266313,15840.83569666748,2.264753816190068,3.5664219180099788,4.021369508986653,0.06350649836302741,2.7428837223007965,8.938773878508169,8.9194452486146,132215.56029573735
2011-09-30,15891.534,15870.684,2.266,2.66,2.9,0.06,3.1397,8.8003,9.0,132358.0,15949.210245608718,15866.266288630119,2.2682444095211354,3.0366044923397966,3.233029844854888,0.08239592569231316,2.725169152276882,9.06265139009802,8.913005197543614,132487.6620074337
2011-10-31,15891.534,16048.702,2.2675,2.89,3.16,0.09,3.1397,8.8003,8.8,132562.0,15969.653645696773,15993.433746815748,2.2703293136824287,3.0728795198321857,3.279201851886744,0.06294584636394684,2.707427666066499,9.15960330513642,8.766335858287002,132653.32167409055
2011-11-30,15891.534,16048.702,2.2717,2.77,3.06,0.1,3.1397,8.8003,8.6,132694.0,15994.828555220469,16019.830984973873,2.2747309407293312,2.9259466023414094,3.147857720381967,0.07158812741748868,2.6893795617292633,9.266648877023727,8.670499459650392,132800.06864743005
2011-12-30,15891.534,16048.702,2.2722,2.57,2.89,0.04,3.1397,8.8003,8.5,132896.0,,,,,,,,,,
2012-01-31,16253.97,16179.968,2.2784,2.59,2.94,0.11,2.0732,0.5444,8.3,133246.0,16115.35044397895,16177.616081289094,2.2712067984919773,2.3305706498530934,2.7269674667432398,0.1027784365472279,2.376159106988455,0.03263725681280949,8.418482742083214,133165.32080207285
2012-02-29,16253.97,16179.968,2.2833,2.73,3.08,0.1,2.0732,0.5444,8.3,133518.0,16142.254190691776,16203.465059663615,2.2775957584876783,2.560167686382537,2.892212661365252,0.09778738951731665,2.3655401400542866,0.12739044044816783,8.346690048752338,133457.4395096146
2012-03-30,16253.97,16179.968,2.2881,3.0,3.35,0.09,2.0732,0.5444,8.2,133744.0,,,,,,,,,,
2012-04-30,16253.97,16253.726,2.2919,2.73,3.12,0.16,2.0732,0.5444,8.2,133827.0,16196.013062769047,16258.700514613196,2.2895042087086486,2.4839161764154065,2.853670659112349,0.1303879700355425,2.3408274836612875,0.3112267077467439,8.178298612995453,133783.5721327846
2012-05-31,16253.97,16253.726,2.2871,2.27,2.67,0.16,2.0732,0.5444,8.2,133935.0,16223.117391965705,16286.373600820625,2.287849064249477,2.2088826747578545,2.7226553115530696,0.14931513719086636,2.3277719035755298,0.4018980565755079,8.191683206832913,133748.5590775886
2012-06-29,16253.97,16253.726,2.2852,2.38,2.76,0.09,2.0732,0.5444,8.2,134007.0,,,,,,,,,,
