Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ
2010-05-21,79.16357142857143,322.77184549095614,7295.841562269714,7449.331335448645,40.99953725127257,58.04007731370144,70.0,-592822838.6520605,-639.431642779249,-716.7114925927018,77.27984981345276,170.6906364582757,85.1226,5.1909
2010-05-28,78.57857142857142,289.142266092162,7050.461895294898,7321.1265598675745,31.578947368421098,47.255067405556446,68.48,-945642512.2456741,-605.3314878132633,-694.435491636814,89.10400382355078,167.44535653836172,85.3254,5.1411
2010-06-04,77.86857142857143,259.9486306132071,7014.461895294898,7120.255117619837,26.556603773584953,41.02920208780043,68.5788,-1282886328.6964307,-571.7451955998754,-669.8974324294263,98.15223682955093,165.4438516870591,83.3361,5.0968
2010-06-11,77.22928571428572,235.21014653144618,7436.461895294898,7167.128561961564,29.83325822442545,35.03086834144203,68.660224,-920210724.7456744,-538.5788960526354,-643.6337251540682,105.0548291014328,162.95654655412278,85.5673,5.296
2010-06-18,77.0642857142857,214.50612699392002,7988.277241379311,7479.7336773230345,45.656261752538576,36.498265676332245,68.78161951999999,-518241707.43684745,-506.01591041246024,-616.1101622057466,110.09425179328639,159.9289584539239,87.5811,5.3015
2010-06-25,77.05285714285715,196.82531006139735,8185.098067287045,7869.94573465375,49.718111346018325,58.18488292938298,69.00558712959999,27765709.871979475,-474.5798856469389,-587.8041068939851,113.22422124704622,150.89102361549178,84.5554,5.2241
2010-07-02,76.76285714285714,180.88060205321102,7718.919881305637,7964.09839665733,43.71127633209418,53.39797089446579,69.26347538700799,-465593543.43684727,-444.91394162099556,-559.2260738393873,114.3121322183917,147.13042201929292,80.1109,4.7843
2010-07-09,76.62714285714286,167.39652177944956,7969.916109873793,7957.978019488825,47.241579558652724,57.72851212957623,69.50660587926782,55616735.56005299,-416.4009206135357,-530.661043194217,114.2601225806813,145.49947424810688,84.6259,5.0332
2010-07-16,76.38499999999999,155.35698554218962,7704.897168405364,7797.911053194931,45.28249373782355,55.999387358668194,69.71627376168247,-431334562.322296,-389.52774551522907,-502.4343836584194,112.90663814319032,143.74621472899034,83.6069,4.8687
2010-07-23,76.38428571428572,145.13738746989767,7865.897168405364,7846.903482228173,49.98602180598266,55.717360538326254,69.92654828644882,78834931.14828801,-363.90576792521415,-474.72866051177834,110.8228925865642,142.47301373936153,86.5464,5.1521
2010-07-30,76.325,136.20173580724466,7806.897168405365,7792.56383507203,48.85137005258788,55.97314209966088,70.10661732071985,-426436958.6525713,-339.7315602073937,-447.72924045090144,107.99768024350772,141.40273106005293,86.4367,5.3845
2010-08-06,76.57285714285715,128.77083769961206,8041.897168405365,7904.897168405364,54.74952094169175,60.39255206142469,70.29308497430546,95730785.26084203,-316.7326047565955,-421.5299133120403,104.79730855544483,140.33089608385856,88.0984,5.5891
2010-08-13,76.74214285714287,121.83872600633046,7672.897168405365,7840.563835072032,53.14908317831517,61.60704106889546,70.50462327481935,-407258030.01407367,-295.39835071672115,-396.3036007929765,100.90525007625536,139.4804957071588,84.9003,5.5144
2010-08-20,76.84928571428573,115.95756253881974,7767.897168405365,7827.563835072032,52.04026115342764,57.20962735922444,70.71253080932297,95299779.4468885,-275.241332871045,-372.0911472085902,96.84981433754518,138.48137834678218,84.2889,5.3955
2010-08-27,77.26142857142858,111.00055420031045,7872.897168405365,7771.230501738698,58.340560855738644,57.589369133974216,70.88788019313651,623853088.9078507,-256.22838347205607,-348.91859446128336,92.6902109892273,137.46425809085338,83.7637,5.1273
