Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ
2014-04-04,,543.14,,,,,,-11549957.544881132,157.9045,10.4054
2014-04-11,,541.4680000000001,,,,,,14855037.590113241,153.7621,9.9668
2014-04-17,,540.7522666666667,,,,,,-13079628.51782085,157.896,10.0356
2014-04-25,,537.4759644444445,,,,,,25030644.69694498,157.8113,10.3337
2014-05-02,,536.2031691851852,,,,,,-6146678.192018576,159.3107,10.5631
2014-05-09,,533.8734132938272,,,,,,22899974.85319496,159.226,10.4255
2014-05-16,,532.1076248546502,,,,,,-10084506.597253714,159.3023,10.3366
2014-05-23,,534.8532748740303,,,,,,-35689421.430956654,161.2507,10.4484
2014-05-30,,538.1915048908263,,,,,,-62520345.60491167,163.2245,10.8641
2014-06-06,,540.6099709053829,,,,,,-40694071.814703874,165.5117,10.7809
2014-06-13,,542.0966414513318,,,,,,-16810542.370394096,164.4528,10.572
2014-06-20,,543.9984225911543,,,,,,-30453003.540731307,166.7796,10.8742
2014-06-27,,548.4306329123337,,,,,,-38001275.13660045,166.6775,11.0066
2014-07-03,545.1657142857142,553.2705485240226,58468.07203763599,,64.73046681306228,33.297720884476405,502.8,-41629966.1012195,168.7033,11.4959
2014-07-11,547.74,556.7251420541529,57911.987796230766,,62.28189749182114,31.519927140683308,502.8,-40278909.71939494,167.3499,11.257
2014-07-18,552.3457142857143,561.8391231135993,59502.65106382979,58627.57029923218,71.48187633262259,42.44795857686394,504.472598,-31206344.24949896,168.2862,11.7981
2014-07-25,556.1257142857143,565.463240031786,58896.808466701084,58770.48244225388,67.56505576208174,52.0760404079304,506.31914604,-36983712.818428,168.2947,12.1925
2014-08-01,559.6892857142857,565.5441413608812,56601.80846670109,58333.75599907732,66.23283659790462,53.244957655589374,508.18576311920003,-36975489.85278708,163.8515,12.0802
2014-08-08,562.6064285714285,565.9742558460971,56871.776336274,57456.79775655872,64.11976213525102,54.911692917170036,509.87204785681604,-35999325.652304254,164.4814,11.9823
2014-08-15,566.5171428571429,566.9750217332842,57341.87911174445,56938.48797157319,69.53543138514235,62.3950359157696,511.1816068996797,-32602143.61398357,166.5923,12.1234
2014-08-22,570.9407142857143,569.053018835513,58249.693165340504,57487.78287111965,71.02029733215664,61.625942204848144,512.5455747616861,-28421745.879013926,169.5459,12.3105
2014-08-29,572.2907142857142,569.3926163241113,57151.15353037767,57580.90860248755,57.48811410459588,54.869057682525835,514.0414632664524,-29109130.666429646,170.8397,12.5119
2014-09-05,574.1614285714286,571.6176008142297,58599.153530377676,58000.00007536528,59.809723574799634,54.543158986228825,515.4606340011234,-22912855.254013862,171.1802,12.4112
2014-09-12,575.5392857142857,572.1512540389991,57553.05885278514,57767.78863784683,56.870147446399294,55.39372433242216,516.8824213211009,-23479870.412241295,169.4949,12.6664
2014-09-19,578.705,575.341753500466,59599.05885278515,58583.75707864932,64.17967750191963,56.969728529338944,518.3801728946788,-13269009.870214766,171.6306,12.6794
2014-09-26,580.1864285714286,575.5761863670706,57697.79185022027,58283.303185263525,56.076409234735735,58.6094031177348,519.9421694367852,-17681932.088856257,169.2362,12.2433
2014-10-03,580.0464285714286,575.5366948514612,57513.876418663305,58270.242373889574,49.353562005277034,50.85717552516805,521.4223060480494,-25071692.498060316,168.056,12.3444
2014-10-10,577.172142857143,571.3971355379331,54439.214928057554,56550.29439898037,38.49628359062322,43.84729731389317,522.5908599270884,-22012416.118631117,162.9422,11.9458
2014-10-17,572.3142857142858,563.366850799542,51111.419117647056,54354.836821455974,33.22149306754825,40.429859631064396,508.53,-3501522.289604686,161.172,11.5992
2014-10-24,568.3642857142858,560.2219373596031,53972.45002730748,53174.36135767069,37.16222490481937,39.98559803118589,508.1,-14469908.376299862,167.9791,11.8072
2014-10-31,566.2257142857143,560.0696790449894,55902.25096175606,53662.04003557019,43.45201644650513,40.12066925293986,508.8824,-18063506.115168955,172.4516,12.4946
2014-11-07,564.4357142857143,557.5283885056575,54095.25096175605,54656.65065027319,44.39974970948421,40.17487939274806,509.89615200000003,-8715829.78815636,173.8882,12.6737
2014-11-14,562.6949999999999,555.7779367049033,54434.25096175605,54810.584295089386,44.57069019293321,40.62089809729555,510.85622896,-20290031.45774535,174.6579,12.6448
2014-11-21,560.125,553.3408784775828,53744.25096175605,54091.25096175605,42.06160091783602,34.32114711789724,511.6779023808,-9444829.465763945,176.7445,12.7372
2014-11-28,557.2157142857143,551.8060946805717,54177.25096175606,54118.584295089386,40.821201604543226,34.73339624756839,512.320144333184,-17302637.321381677,177.1892,12.9711
2014-12-05,553.9057142857143,548.2666153898289,52520.25096175605,53480.584295089386,39.8144891858625,34.40377321402366,512.9533414465203,-1596612.696937345,177.8733,13.1935
2014-12-12,549.09,544.319066671185,51860.25096175605,52852.584295089386,34.649362477231335,28.694814262473443,513.5224746175899,23624722.927506987,171.7931,13.3614
2014-12-19,544.8564285714286,540.5898577816937,51630.45031633793,52003.65074661667,35.98486639867582,26.944471682297973,489.0,39035193.16778709,177.5782,14.109
2014-12-26,540.4242857142857,539.7152100774679,53398.3405940028,52296.34729069893,35.13202664494176,24.584277980431196,489.682,29899814.148286223,179.2291,14.1119
2015-01-02,536.6892857142857,537.7278487338054,52475.68478260869,52501.49189764981,36.85586446131415,25.159894679570797,490.57956,44258948.85144271,176.6409,13.8685
2015-01-09,531.0385714285715,532.1868022359647,49611.684782608696,51828.5700530734,32.476852877331325,24.311797283702646,491.0,67174602.18496221,175.6263,14.0539
2015-01-16,528.4378571428571,528.9725619378361,50801.229273711986,50962.86627964312,41.198936427362824,24.30577528022043,487.56,56051010.8625915,173.3735,13.4135
2015-01-23,530.4935714285714,530.4362203461246,53988.22927371199,51467.04777667756,57.005842259006826,33.181458483024215,487.9726,53202340.20957968,176.2454,13.4918
2015-01-30,530.1178571428571,530.9807242999747,53445.229273711986,52744.89594037866,48.55668971572825,23.20419658210365,489.056548,45285780.26962539,171.499,13.2136
2015-02-06,528.1121428571429,530.9832943933113,53093.06852431049,53508.84235724483,41.56452775775054,24.410737229472716,490.07281704,33971927.099108115,176.7441,14.2669
2015-02-13,528.6835714285714,533.3868551408698,54893.4268288705,53810.57487563099,52.404135112393305,30.42650098426381,491.0153606992,52585255.71876731,180.3813,14.3379
2015-02-20,528.2942857142857,534.1286077887538,53887.19154388213,53957.895632354375,48.42531060387173,30.520154741442212,492.193253485216,37026344.15544608,181.6367,14.761
2015-02-27,529.7871428571428,537.36479341692,55833.68036292936,54871.43291189399,55.630387931034484,37.44659678380069,493.3493884155117,58460980.730286755,181.138,14.5349
2015-03-06,531.6339285714286,541.4074876279973,56763.10365246264,55494.65851975805,56.78413056597831,38.866245598736015,494.7766006472015,79307445.10418794,178.4208,14.5436
2015-03-13,533.2096428571429,542.1958226109309,54726.603652462654,55774.462555951555,55.675328016465166,39.08736559640997,496.4392686342575,64364241.19093934,176.9849,14.6053
2015-03-20,536.1882142857143,544.6177129294734,56030.60365246265,55840.103652462654,60.38398326609894,46.2044847092725,497.91588326157233,87055772.58510396,181.7234,14.6605
2015-03-27,538.4732142857143,545.1140178722103,54828.60365246265,55195.27031912931,57.59857482185275,55.98291956116374,499.1919655963409,74030905.25443138,177.6901,14.4454
2015-04-02,538.5803571428571,543.8361488225823,53547.60365246265,54802.27031912931,50.36473277245539,50.88467069680838,500.69992628441406,66488272.402628444,178.2947,14.5646
2015-04-10,539.6660714285715,543.3259956462381,53995.60365246265,54123.936985795975,53.78316491612326,50.53386658488391,501.78012775872577,77152759.3300616,181.4038,14.7012
2015-04-17,541.6575,540.7558628934063,52399.60365246264,53314.27031912931,57.40662026459805,51.23725269995679,502.62152520355124,73845097.23169571,179.5988,14.1475
2015-04-24,545.7275000000001,543.9964145076187,56499.46630165558,54298.22453552696,63.11030325341678,60.99766951588687,503.4502946994802,87648171.1825487,182.7943,14.117
2015-05-01,545.5810714285714,543.1835592399362,53783.466301655586,54227.512085257935,49.51787394167449,53.81044441347129,504.8040888054906,80048921.7664077,181.9911,14.2565
2015-05-08,545.8453571428571,542.5217513412781,53813.26431940701,54698.73230757273,50.891609234179974,56.94673462152655,506.0270070293808,91247935.45403008,182.7684,14.6925
2015-05-15,546.0489285714286,541.3655178291077,53375.843409490335,53657.524676850975,50.683978112700395,50.08028184465219,506.7878668887932,79851721.52717324,183.4766,14.8785
2015-05-22,545.4132142857143,541.1981154518934,54001.843409490335,53730.317046129225,47.736405717483095,50.116459336886585,507.4917095510173,95011164.8894929,183.9517,15.2941
2015-05-29,544.9246428571429,539.9863667249743,53201.843409490335,53526.510076157,48.24191641392073,49.313712364846424,508.22567535999696,84268645.52437732,182.3539,15.0413
2015-06-05,543.1339285714286,539.0988511616445,53323.84340949034,53509.17674282367,42.8899602949518,48.92700880893364,508.873361852797,91025747.68425278,181.1707,14.6867
2015-06-12,540.6085714285715,538.1963376734252,53223.27603583427,53249.65428493832,39.47861798053747,42.208506550950744,509.56589461574106,83103728.3697123,181.3088,14.8203
2015-06-19,539.8492857142858,537.9954926503018,53659.27603583427,53402.13182705297,46.503519505295706,48.70393535143346,510.15417672342625,97059643.25898968,182.9585,14.7166
2015-06-26,537.8014285714286,537.1547602969283,53159.27603583427,53347.27603583428,40.043064527332106,47.5955973286741,510.7160931889577,89888881.36164123,182.1687,14.5166
2015-07-02,536.02,535.3207922573379,52330.20534119582,53049.58580428812,41.10810039931545,39.95299157325838,511.37657132517853,82746879.25585312,179.9296,14.3501
2015-07-10,535.6342857142857,534.6286866230262,53003.79378127234,52831.09171943414,47.98747763864044,46.27500133354276,511.721239898675,95632724.5515147,180.0685,14.7444
2015-07-17,545.1285714285714,553.068861739956,67289.76573250967,57541.25495165928,74.39078097475041,59.24736919784907,512.1380151007015,131185293.43720894,184.3992,15.1416
2015-07-24,552.2364285714286,562.4676801746285,62352.84828092499,60882.135931569,66.2656510510314,69.5804445816809,515.3846147986875,114720277.49734509,180.4677,15.1562
2015-07-31,556.5614285714286,570.8866561513447,62557.848280925,64066.82076478656,61.34192484921141,61.4330638257579,518.6497225027138,128385593.67498069,182.6461,14.905
2015-08-07,563.5185714285715,579.4751019978321,63526.84828092499,62812.51494759166,69.52216788262646,67.91801279514448,520.9811280526595,141152626.47783825,180.4503,15.46
2015-08-14,572.0114285714286,589.8277550647879,65708.848280925,63931.18161425833,71.94050782403305,74.36156443726873,523.5187054916063,156266648.16780037,181.7001,15.8485
2015-08-21,577.6278571428571,592.8480543894829,61244.848280925,63493.51494759166,62.632137004787445,71.26123285711923,526.5463313817742,152850418.99768463,171.5198,15.0569
2015-08-28,584.0757142857143,597.8523138042185,63034.848280925,63329.51494759166,63.979310558429084,61.04726237540956,529.3554047541387,168884697.1028653,172.9171,15.0394
2015-09-04,588.975,598.2320052969894,60066.848280925005,61448.848280925005,59.953562617907416,58.862592473027696,531.640096659056,161259277.01926735,167.1457,14.6918
2015-09-11,595.5778571428572,601.9037379240575,62573.848280925,61891.848280925005,62.54614549402822,58.88360386444016,533.7232947258749,175658959.05375817,170.7474,15.1895
2015-09-18,602.5007142857143,605.5499062008498,62921.848280925,61854.181614258334,63.066220880069025,64.24881054746729,535.5792288313573,185366789.40918958,170.4466,14.8138
2015-09-25,607.8778571428572,606.4059187074032,61193.848280925,62229.84828092499,59.80719124544033,58.88445231700446,537.8856442547302,185116312.9199802,168.2741,15.6973
2015-10-02,614.6792857142857,609.1397962130827,62687.848280925,62267.848280925005,62.09173566312794,53.253128244537734,539.8577313696356,197393432.68632337,170.1325,15.4478
2015-10-09,623.2657142857142,613.7358233846717,64357.848280925,62746.51494759166,64.94591570309586,57.84442028446562,541.6073767422429,214066432.3708669,175.6553,15.5828
2015-10-16,632.6992857142858,620.1977136000488,66216.3594060171,64420.68532262237,65.95009782372408,58.2430450479565,543.787409207398,237029163.3281377,177.3479,16.1346
