Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2018-09-21,158.502,158.4737783588426,16286.402919062362,16151.694556750983,91.33709981167607,58.49509696941728,130.2542306054709,-2862073515.29673
2018-09-14,160.156,159.7558522392284,16225.402919062362,16317.554871795357,81.39711465451774,59.973293929702294,130.99414599336149,-3161199055.916491
2018-09-07,162.016,160.8505681594856,16295.170152628603,16268.991996917777,84.24153166421198,79.97112308229474,131.71806307349425,-2933398747.3838434
2018-08-31,165.696,165.8103787729904,17565.40583173996,16695.326301143643,90.56437389770717,78.93130261463882,132.56150181202437,-2763527251.1845293
2018-08-24,167.734,168.75691918199362,17457.40583173996,17105.993938702843,80.63740228502706,60.48142967752845,133.50607177578388,-2988898545.194188
2018-08-17,169.908,170.4379461213291,17372.923485183546,17465.24504955449,84.07523510971791,83.23623234044419,134.3469503402682,-3130369870.187764
2018-08-10,173.496,173.71196408088608,18020.34628975265,17616.891868892053,91.14678899082577,84.61764125782776,135.31221133346284,-3079902928.887737
2018-08-03,176.44400000000002,175.06797605392407,17770.33854645814,17721.20277379811,81.28183361629891,56.72031257097666,136.3719671067936,-3292937320.4115233
2018-07-27,176.276,175.00865070261605,17485.800614675376,17758.82848362872,46.94767441860463,69.29493019990763,137.2215277646577,-3194445625.138291
2018-07-20,183.334,186.65243380174405,20990.800614675376,18748.97992526963,86.96836371254976,78.786646847391,138.84949720936456,-3256072980.276388
2018-07-13,190.03799999999998,193.54162253449604,20728.800614675376,19735.133948008708,83.85858585858584,68.2565427945319,140.30250726517727,-3242000033.293979
2018-07-06,194.632,196.77108168966402,20319.800614675376,20679.800614675376,74.36876723955017,55.77336205586038,141.66505711987372,-3290000589.779171
2018-06-29,197.94,195.95405445977605,19428.207803594916,20158.936344315225,65.4406273338312,62.67777501301689,142.90455597747624,-3272483886.3638387
2018-06-22,203.31,197.88270297318405,20164.030082987552,19970.679500419283,73.11069030814254,42.60424217080221,144.06146485792672,-3226136501.461548
2018-06-15,200.492,197.20513531545606,19575.382068262865,19722.539984948446,25.648116142412746,24.464613114393345,145.25123556076818,-3326382356.526574
2018-06-08,196.848,194.50342354363738,18899.16734456711,19546.19316527251,22.444041137326096,23.69592627164357,146.2918108495528,-3392246511.642942
2018-06-01,195.0,194.33228236242493,19389.7404233871,19288.096612072357,36.355581807442455,40.397683440266945,147.26597463256175,-3256239035.5044336
2018-05-25,193.12,191.1948549082833,18483.47496490407,18924.127577619427,36.18459729570842,43.69439478738931,148.2116551399105,-3402745272.636599
2018-05-18,189.308,188.35656993885556,18255.93509933775,18709.71682920964,16.955617198335688,20.088101732477924,148.9856220371123,-3485629593.712027
2018-05-11,187.536,187.90104662590372,18689.10005589715,18476.170040046323,33.74908290535588,19.406652380154583,149.76310959637007,-3326598813.992531
2018-05-04,185.038,184.13736441726917,17654.00041118421,18199.678522139704,29.783101327290424,18.57173824194345,150.53424740444268,-3560001879.7311354
2018-04-27,180.958,180.62157627817948,17354.13881107999,17899.079759387114,14.851826326671272,-1.4210854715202004e-14,151.08516245635383,-3930653025.240185
2018-04-20,177.23000000000002,175.84105085211968,16623.13881107999,17210.42601111473,15.81071166544389,-1.4210854715202004e-14,151.60545920722674,-4304431032.294689
2018-04-13,173.598,172.06736723474648,16447.16604708798,16808.147889749318,16.094100074682615,-1.4210854715202004e-14,151.9533500230822,-4750051451.585514
2018-04-06,167.64000000000001,167.11157815649767,15714.540805223067,16261.615221130343,0.0,0.0,150.51,-5240209129.241619
2018-03-29,164.276,164.67105210433178,15973.69301994302,16045.133290751357,11.772727272727266,29.7837416848063,149.02,-4570714710.2905035
2018-03-23,161.43599999999998,162.91070140288787,15933.706216696268,15873.980013954118,13.36429308565532,59.59906408900518,149.2966,-4811557635.308285
2018-03-16,165.198,170.30380093525858,18504.981121898596,16804.126786179295,74.90071485305796,67.65775954422188,149.854068,-4518578983.889702
2018-03-09,169.33999999999997,175.27920062350574,18518.981121898596,17652.55615349782,78.64453665283536,74.3587560599098,150.57898664,-4146808385.8661294
2018-03-02,173.224,175.72613374900385,17657.981121898596,18227.314455231928,75.93482905982908,81.40179112844021,151.2776069072,-4478226551.8020935
2018-02-23,177.92399999999998,178.24742249933593,18323.127769571638,18166.696671122943,78.29961464354528,76.46180241762187,151.965254769056,-4069288433.5666122
2018-02-16,181.51799999999997,177.9516149995573,17723.94950911641,17901.68613352888,69.0967056323061,36.258018020040645,152.5937496736749,-4511637621.430269
2018-02-09,179.72200000000004,177.33774333303822,17603.864703371746,17883.647327353265,30.132743362831818,45.07878430892537,153.1518746802014,-4914414379.617017
2018-02-02,180.73200000000003,181.65182888869214,19022.058990760484,18116.624401082878,56.893256893256925,65.17929388487799,153.90103718659736,-4474603753.507421
2018-01-26,183.40800000000002,184.43455259246144,18994.058990760484,18539.99422829757,73.63957597173147,63.907907019711665,154.7294164428654,-5003162456.828724
2018-01-19,183.00799999999998,183.38636839497428,18123.058990760484,18713.058990760484,46.704021094265,48.66110194352808,155.4480281140081,-5606519320.506191
2018-01-12,183.41000000000003,182.04757892998288,17931.058990760484,18349.392324093817,53.816938853019344,67.11393301695927,155.98646755172794,-6128999149.03931
