Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-01-31,149.75,150.0,148.64,148.87,136.746804061699,8651722,0.0000,1.0
2020-01-30,150.03,150.51,149.05,150.36,138.1154662371,6470057,0.0000,1.0
2020-01-29,149.45,151.19,149.13,150.54,138.28080797641,6288524,0.0000,1.0
2020-01-28,148.46,150.57,148.15,149.5,137.325500149284,7336569,0.0000,1.0
2020-01-27,147.52,149.46,147.0,148.75,136.636576235492,7585884,0.0000,1.0
2020-01-24,148.58,148.95,147.93,148.32,136.241593191584,9051928,0.0000,1.0
2020-01-23,148.04,148.77,146.76,148.53,136.434491887446,8671208,0.0000,1.0
2020-01-22,146.7,149.18,146.0,148.25,136.177293626297,10304806,0.0000,1.0
2020-01-21,148.58,150.17,148.5,149.27,137.114230149055,9529978,0.0000,1.0
2020-01-17,148.41,149.41,147.93,149.17,137.022373627216,9083579,0.0000,1.0
2020-01-16,147.42,148.84,146.2,148.2,136.131365365378,6476010,0.0000,1.0
2020-01-15,146.4,147.4,146.24,147.01,135.038272755494,4960248,0.0000,1.0
2020-01-14,145.05,146.61,144.73,146.52,134.588175798483,7037472,0.0000,1.0
2020-01-13,145.48,145.79,144.72,145.7,133.834952319403,4593245,0.0000,1.0
2020-01-10,145.75,146.18,144.9,145.06,133.247070579633,5042624,0.0000,1.0
2020-01-09,145.76,146.03,144.99,145.39,133.550197101702,6112742,0.0000,1.0
2020-01-08,144.87,145.98,143.7,144.96,133.155214057794,6605760,0.0000,1.0
2020-01-07,144.01,145.45,141.38,144.98,133.173585362162,7385397,0.0000,1.0
2020-01-06,144.0,144.2,142.85,144.1,132.365247969979,7730593,0.0000,1.0
2020-01-03,143.5,145.37,143.0,144.28,132.530589709289,5752392,0.0000,1.0
2020-01-02,145.87,146.02,145.08,145.97,134.082964928368,5776962,0.0000,1.0
2019-12-31,145.1,146.01,144.78,145.87,133.991108406529,4434991,0.0000,1.0
2019-12-30,145.78,146.2,145.03,145.3,133.467526232047,2923349,0.0000,1.0
2019-12-27,146.2,146.55,145.54,145.75,133.880880580322,3432681,0.0000,1.0
2019-12-26,145.97,146.18,145.16,145.83,133.954365797794,3019298,0.0000,1.0
2019-12-24,146.0,146.01,145.26,145.93,134.046222319633,4238924,0.0000,1.0
2019-12-23,145.74,146.76,145.34,146.44,134.514690581011,6558748,0.0000,1.0
2019-12-20,146.88,147.84,144.8,146.06,134.165635798023,14482499,0.0000,1.0
2019-12-19,143.89,145.88,143.61,145.35,133.513454492967,9414733,0.0000,1.0
2019-12-18,143.72,143.88,142.74,143.19,131.529353621244,7141074,0.0000,1.0
2019-12-17,143.0,144.05,142.52,143.56,131.869222752049,10720002,0.0000,1.0
2019-12-16,141.73,142.85,141.49,141.79,130.243362315499,5352878,0.0000,1.0
2019-12-13,141.1,141.8,140.31,141.38,129.866750575959,4257188,0.0000,1.0
2019-12-12,141.32,142.06,140.73,141.34,129.830007967223,5011366,0.0000,1.0
2019-12-11,140.93,141.98,140.63,140.98,129.499324488603,6498780,0.0000,1.0
2019-12-10,140.8,141.0,139.91,139.99,128.589944922397,5310334,0.0000,1.0
2019-12-09,140.39,140.81,140.06,140.5,129.058413183776,4240984,0.0000,1.0
2019-12-06,139.46,141.58,139.46,140.38,128.948185357569,6640427,0.0000,1.0
2019-12-05,139.35,139.75,137.95,139.56,128.194961878489,5472944,0.0000,1.0
2019-12-04,138.5,139.74,138.04,139.38,128.029620139179,7257259,0.0000,1.0
2019-12-03,136.91,137.45,136.16,137.16,125.990405354354,6414079,0.0000,1.0
2019-12-02,137.72,137.85,136.85,137.36,126.174118398032,4717081,0.0000,1.0
2019-11-29,137.6,138.27,136.94,137.49,126.293531876422,3278854,0.0000,1.0
2019-11-27,137.16,138.25,136.9,137.75,126.532358833204,5522950,0.0000,1.0
2019-11-26,136.47,137.34,135.15,137.17,125.999591006537,10643924,0.0000,1.0
2019-11-25,137.06,137.65,136.24,137.18,126.008776658721,6111905,0.9500,1.0
2019-11-22,136.65,138.63,136.5,138.07,125.954041795914,9235789,0.0000,1.0
2019-11-21,135.94,136.85,135.0,136.44,124.467078022992,6424067,0.0000,1.0
2019-11-20,135.11,136.34,134.07,135.94,124.010954166268,7594445,0.0000,1.0
2019-11-19,135.0,135.19,134.21,134.82,122.989236727205,5191041,0.0000,1.0
2019-11-18,134.22,135.69,132.66,134.83,122.998359204339,9291804,0.0000,1.0
2019-11-15,131.25,134.97,130.78,134.94,123.098706452819,10495109,0.0000,1.0
2019-11-14,131.03,131.36,130.14,130.96,119.467960553291,4217462,0.0000,1.0
2019-11-13,131.04,131.49,130.72,131.27,119.750757344461,5921189,0.0000,1.0
2019-11-12,132.0,132.09,131.02,131.35,119.823737161537,5228727,0.0000,1.0
2019-11-11,132.27,132.52,131.33,131.98,120.398453221009,4368140,0.0000,1.0
2019-11-08,131.3,133.04,130.97,133.0,121.328945888728,5002928,0.0000,1.0
2019-11-07,131.73,132.38,131.01,131.43,119.896716978613,5873726,0.0000,1.0
2019-11-06,130.42,131.48,129.7,130.96,119.467960553291,5449972,0.0000,1.0
2019-11-05,130.53,131.47,129.68,130.42,118.975346788029,6251180,0.0000,1.0
2019-11-04,131.8,131.95,130.09,130.23,118.802019722474,6139403,0.0000,1.0
2019-11-01,132.05,133.0,131.14,131.2,119.686900004519,5540679,0.0000,1.0
2019-10-31,132.38,132.84,130.89,132.04,120.453188083816,7686593,0.0000,1.0
2019-10-30,133.3,133.53,131.73,132.84,121.182986254576,9625878,0.0000,1.0
2019-10-29,129.7,129.97,128.56,129.12,117.789424760545,4448464,0.0000,1.0
2019-10-28,128.62,130.0,128.51,129.18,117.844159623352,7875903,0.0000,1.0
2019-10-25,127.83,129.1,127.31,128.35,117.086994021189,6946727,0.0000,1.0
2019-10-24,130.42,130.58,126.1,127.5,116.311583464758,12144516,0.0000,1.0
2019-10-23,129.66,130.48,129.07,129.9,118.500977977035,6721296,0.0000,1.0
2019-10-22,128.76,130.54,128.09,129.2,117.862404577621,7625439,0.0000,1.0
2019-10-21,128.67,129.67,127.06,128.02,116.785952275751,14106326,0.0000,1.0
2019-10-18,133.31,134.39,127.7,127.7,116.494033007447,25866848,0.0000,1.0
2019-10-17,135.96,137.49,135.65,136.17,124.220771140361,8612172,0.0000,1.0
2019-10-16,134.9,136.59,133.8,135.17,123.308523426912,12463359,0.0000,1.0
2019-10-15,133.0,134.25,132.1,132.84,121.182986254576,10044171,0.0000,1.0
2019-10-14,131.36,131.36,130.42,130.72,119.249021102064,5850110,0.0000,1.0
2019-10-11,131.14,132.62,130.82,131.33,119.805492207268,7187281,0.0000,1.0
2019-10-10,128.95,130.12,128.63,129.06,117.734689897738,5265501,0.0000,1.0
2019-10-09,131.14,131.25,128.52,129.22,117.88064953189,7851918,0.0000,1.0
2019-10-08,132.45,133.26,131.49,131.84,120.270738541127,7903562,0.0000,1.0
2019-10-07,133.09,133.82,132.14,133.16,121.474905522879,5436611,0.0000,1.0
2019-10-04,131.34,133.72,131.25,133.66,121.931029379604,7239215,0.0000,1.0
2019-10-03,131.64,132.37,130.01,131.19,119.677777527385,7350005,0.0000,1.0
