Date,5. adjusted close,6. volume,direction,Symbol
2020-01-31,43.3713,88338175,0,TSLA
2020-01-24,37.6547,82820940,1,TSLA
2020-01-17,34.0333,108103392,1,TSLA
2020-01-10,31.8767,101006048,1,TSLA
2020-01-03,29.534,50246804,1,TSLA
2019-12-27,28.692,41992657,1,TSLA
2019-12-20,27.0393,73766620,1,TSLA
2019-12-13,23.8927,39149822,1,TSLA
2019-12-06,22.3927,29587630,1,TSLA
2019-11-29,21.996,28331092,1,TSLA
2019-11-22,22.2027,41859203,0,TSLA
2019-11-15,23.478,37105201,0,TSLA
2019-11-08,22.476,44212958,1,TSLA
2019-11-01,20.8873,52514801,1,TSLA
2019-10-25,21.8753,80686938,0,TSLA
2019-10-18,17.13,33910553,1,TSLA
2019-10-11,16.526,38525904,1,TSLA
2019-10-04,15.4287,41557942,1,TSLA
2019-09-27,16.142,49978992,0,TSLA
2019-09-20,16.0413,24292507,1,TSLA
2019-09-13,16.3467,33623515,0,TSLA
2019-09-06,15.1633,22721936,1,TSLA
2019-08-30,15.0407,28209102,1,TSLA
2019-08-23,14.0933,32406687,1,TSLA
2019-08-16,14.6627,32534854,0,TSLA
2019-08-09,15.6673,26541572,0,TSLA
2019-08-02,15.6227,40956550,1,TSLA
2019-07-26,15.2027,55388178,1,TSLA
2019-07-19,17.212,40726701,0,TSLA
2019-07-12,16.3387,37932064,1,TSLA
2019-07-05,15.54,38763877,1,TSLA
2019-06-28,14.8973,33631144,1,TSLA
2019-06-21,14.7907,51673266,1,TSLA
2019-06-14,14.328,53037782,1,TSLA
2019-06-07,13.6333,76628366,1,TSLA
2019-05-31,12.344,40614746,1,TSLA
2019-05-24,12.7087,97898995,0,TSLA
2019-05-17,14.0687,50653123,0,TSLA
2019-05-10,15.968,40861509,0,TSLA
2019-05-03,17.002,78749568,0,TSLA
2019-04-26,15.676,78028556,1,TSLA
2019-04-18,18.2173,28314302,0,TSLA
2019-04-12,17.8467,39957682,1,TSLA
2019-04-05,18.3307,58278229,0,TSLA
2019-03-29,18.6573,39110574,0,TSLA
2019-03-22,17.6353,43682541,1,TSLA
2019-03-15,18.362,43630112,0,TSLA
2019-03-08,18.9427,64459151,0,TSLA
2019-03-01,19.6527,59824993,0,TSLA
2019-02-22,19.6473,25960300,1,TSLA
2019-02-15,20.5253,26894679,0,TSLA
2019-02-08,20.3867,31498216,1,TSLA
2019-02-01,20.814,42147975,0,TSLA
2019-01-25,19.8027,39866967,1,TSLA
2019-01-18,20.1507,43823109,0,TSLA
2019-01-11,23.1507,31088092,0,TSLA
2019-01-04,21.1793,32320286,1,TSLA
2018-12-28,22.258,32237176,0,TSLA
2018-12-21,21.318,40136847,1,TSLA
2018-12-14,24.3807,31652681,0,TSLA
2018-12-07,23.8647,36122141,1,TSLA
2018-11-30,23.3653,27187638,1,TSLA
2018-11-23,21.722,26603030,1,TSLA
2018-11-16,23.6207,29262317,0,TSLA
2018-11-09,23.3673,34157979,1,TSLA
2018-11-02,23.094,47045182,1,TSLA
2018-10-26,22.06,92952515,1,TSLA
2018-10-19,17.3333,39178641,1,TSLA
2018-10-12,17.252,53717647,1,TSLA
2018-10-05,17.4633,69274845,0,TSLA
2018-09-28,17.6513,59326690,0,TSLA
2018-09-21,19.94,44129916,0,TSLA
2018-09-14,19.68,46574892,1,TSLA
2018-09-07,17.5493,46043981,1,TSLA
2018-08-31,20.1107,40767581,0,TSLA
2018-08-24,21.5213,45270370,0,TSLA
2018-08-17,20.3667,51574211,1,TSLA
2018-08-10,23.6993,92747117,0,TSLA
2018-08-03,23.2113,58891866,1,TSLA
2018-07-27,19.812,38011759,1,TSLA
2018-07-20,20.9053,31520990,0,TSLA
2018-07-13,21.258,33549263,0,TSLA
2018-07-06,20.5933,57384228,1,TSLA
2018-06-29,22.8633,37607919,0,TSLA
2018-06-22,22.242,51451989,1,TSLA
2018-06-15,23.878,66829957,0,TSLA
2018-06-08,21.1773,52110709,1,TSLA
2018-06-01,19.4547,24500433,1,TSLA
2018-05-25,18.59,32165170,1,TSLA
2018-05-18,18.4547,34152495,1,TSLA
2018-05-11,20.0707,30666799,0,TSLA
2018-05-04,19.606,43745629,1,TSLA
2018-04-27,19.6053,23312899,1,TSLA
2018-04-20,19.3493,31614738,1,TSLA
2018-04-13,20.0227,43693001,0,TSLA
2018-04-06,19.9533,87496485,1,TSLA
2018-03-29,17.742,58192993,1,TSLA
2018-03-23,20.1027,29609674,0,TSLA
2018-03-16,21.4233,34502311,0,TSLA
2018-03-09,21.8113,22073470,0,TSLA
2018-03-02,22.3413,27095733,0,TSLA
2018-02-23,23.47,19909850,0,TSLA
2018-02-16,22.366,26081845,1,TSLA
2018-02-09,20.6947,37630091,1,TSLA
2018-02-02,22.9167,23333591,0,TSLA
2018-01-26,22.8567,27994444,1,TSLA
2018-01-19,23.3347,23886776,0,TSLA
2018-01-12,22.4147,32546449,1,TSLA
2018-01-05,21.1053,23007314,1,TSLA
2017-12-29,20.7567,16989660,1,TSLA
2017-12-22,21.68,26701975,0,TSLA
2017-12-15,22.8967,35352540,0,TSLA
2017-12-08,21.0087,25748643,1,TSLA
2017-12-01,20.4353,26829989,1,TSLA
2017-11-24,21.0367,23610531,0,TSLA
2017-11-17,21.0033,38582903,1,TSLA
2017-11-10,20.1993,26395521,1,TSLA
2017-11-03,20.406,45364011,0,TSLA
2017-10-27,21.3913,30650197,0,TSLA
2017-10-20,23.0067,23453845,0,TSLA
2017-10-13,23.7047,26373796,0,TSLA
2017-10-06,23.792,31277766,0,TSLA
2017-09-29,22.74,31020949,1,TSLA
2017-09-22,23.406,31009283,0,TSLA
2017-09-15,25.3207,30198929,0,TSLA
2017-09-08,22.8933,15341645,1,TSLA
2017-09-01,23.6933,18263329,0,TSLA
2017-08-25,23.2033,23663776,1,TSLA
2017-08-18,23.164,21142880,1,TSLA
2017-08-11,23.8477,31829875,0,TSLA
2017-08-04,23.794,49258414,1,TSLA
2017-07-28,22.338,33361558,1,TSLA
2017-07-21,21.8933,32336986,1,TSLA
