SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ,PC1,PC2,PC3
20.127142857142854,19.959290227673435,2068.986135181976,2053.818386275758,50.47732696897374,68.51805183141127,15.100998,7209979.9389406815,93.2668,5.7129,-3.8969861056735424,0.32072158819048113,0.2696750407793768
20.166428571428572,20.21005153065031,2180.986135181976,2100.42419661759,53.10734463276837,64.31676579442147,15.21797804,5789356.677129598,93.3772,5.838,-3.8936308248086005,0.24399102534825812,0.274806055571703
20.487857142857145,20.774044659896937,2441.809823677582,2230.594031347178,72.27722772277227,72.52882325249956,15.3510184792,6726151.639617586,96.7107,6.1394,-3.881216095499562,1.4107464844735425,0.42745819156207226
21.22,21.98283870524401,2982.673531655225,2535.156496838261,83.82838283828383,76.86924464994254,15.550598109616,14986612.753573889,94.7248,5.9486,-3.8894180818080373,2.0957742968307125,0.45298178666513855
22.125,23.18379354454481,3097.75584381962,2840.746399717476,92.14903526280771,85.92900414089989,15.84958614742368,24184393.3829633,94.7957,6.0724,-3.8741517161183543,2.8493790741186444,0.515065221086078
23.283571428571427,24.80195440527217,3530.935779816514,3203.7883850971198,93.64908503767492,87.22305788033624,16.191384424475206,36789492.67901938,93.6215,5.9486,-3.8534447354848997,2.9773701229540603,0.48455832749258304
24.125714285714285,25.69369381790255,3147.868929198361,3258.853517611499,77.02888583218706,71.91533037962735,16.587556735985704,30268482.57215249,96.8446,6.259,-3.799815004505423,1.5944493423493546,0.3894009256849837
24.87357142857143,26.47053464218221,3150.8475177304963,3276.550742248457,75.54904831625183,65.31801336745241,16.98420560126599,37469676.01235271,98.0977,6.3164,-3.784005316763998,1.2376815656644091,0.3685557052078255
25.672857142857143,27.122463356557915,3134.8475177304963,3144.5213215531185,78.30045523520485,61.09069896401845,17.30292148924067,26671331.936083645,98.4702,6.499,-3.7824252928397253,1.1616973556966677,0.38315745465064693
26.377142857142854,27.51813490901686,3007.8475177304963,3097.847517730496,73.49857006673022,61.0117926023227,17.592263059455856,19133600.104712542,99.5001,6.5875,-3.763540024866775,0.954873779783921,0.3685866593184967
26.843571428571423,27.39971692114795,2661.7819732034104,2934.8256695548007,63.43068696009871,48.10867691905717,17.89761779826674,13395769.949319106,99.6189,6.5626,-3.7648847426231926,-0.04511377782697361,0.2876193776274889
27.389285714285712,27.51175466499489,2822.7819732034104,2830.8038213791056,65.0275373721479,50.24483037566468,18.11126544230141,25272555.328593142,100.7201,6.4658,-3.75896898180615,0.11731183990980182,0.3010751969457706
27.76928571428571,27.27685404299557,2573.7819732034104,2686.115306536744,59.5890410958904,47.64369145126806,18.320640133455377,18792795.110609427,102.4312,6.7396,-3.7388262672940393,-0.23164400213546377,0.2992189308567513
27.947857142857146,26.71194017059616,2302.7819732034104,2566.448639870077,54.11997363216875,44.81227427973921,18.52842733078627,16733797.27794682,101.6945,6.7202,-3.7468110292301153,-0.5893514680921937,0.26688459633071204
28.18285714285714,26.35168148118334,2399.710873664362,2425.424940023728,55.2842916800514,47.24069334611091,18.67065878417054,17861565.92142025,101.1795,6.7755,-3.749685626223052,-0.4328873881544455,0.2822416929276303
28.298571428571424,25.96612395035889,2344.6304489264803,2349.0410985980843,52.65052356020942,45.22911757216995,18.79884560848713,18655984.61971896,103.8968,7.3452,-3.7102624006828773,-0.6381859487080384,0.3154229187338352
28.213571428571424,25.603974090311045,2323.4078291814944,2355.9163839241123,47.88782392616258,40.09072214065876,18.91746869631739,24775422.83021279,105.4495,7.7766,-3.677833438057203,-1.0694405241916067,0.3109024275216524
27.73785714285714,25.28077754493624,2316.4078291814944,2328.148702429823,35.42031523642733,30.71654465430392,19.04411932239104,37436256.94514348,106.5744,8.0449,-3.6425253309774708,-2.01024106395508,0.2423654387239241
27.210714285714285,25.058007205611407,2359.621162638798,2333.145607000596,33.318264014466564,23.831371464806693,19.17303693594322,29783549.837512057,104.8316,7.8568,-3.661838614257614,-2.4024624761165216,0.19046912337942518
26.47,25.04360624486322,2493.621162638798,2389.883384819697,22.895974908520657,22.58684533544171,19.26657619722436,26901374.273504805,104.9425,7.749,-3.6406412957509646,-2.890983326521269,0.12160552113104313
25.94,24.913792078881457,2405.212531752752,2419.484952343449,27.07045735475897,23.499908521954566,19.38104467327987,32447624.16906286,103.6512,7.5194,-3.669185591934545,-2.674594954881449,0.12998312216420263
25.32857142857143,24.65328646836393,2294.203404255319,2397.67903288229,25.20278099652376,23.565540351309775,19.501423779814274,37706692.2464391,101.6496,6.8557,-3.710368011174372,-2.7461645140895254,0.07625096509237377
24.71357142857143,24.39951493924874,2273.203404255319,2324.206446754464,25.12998266897748,24.33846249009632,19.59139530421799,41665472.82381534,104.4661,6.9967,-3.6921472490169163,-2.7175606479683054,0.10839099308395125
24.46857142857143,24.700912947348908,2663.2223684210526,2410.209725643897,41.40350877192982,33.36825842354247,19.66056739813363,43532011.07760793,105.938,7.807,-3.663679830458316,-1.6364634792805113,0.26651376099444735
24.458571428571428,24.93945788770239,2646.2223684210526,2527.549380365808,49.579831932773104,48.27113330233615,19.84155605017096,42495246.99355706,105.7073,7.8679,-3.665222793627168,-0.6305221876010654,0.3525906146320957
24.268571428571427,25.024863502675405,2555.2223684210526,2621.555701754386,41.66666666666667,40.79559271277619,20.00352492916754,40376064.02538603,105.0549,7.8015,-3.6598648371755824,-1.293629916138191,0.28014076043555736
