Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ,PC1,PC2
2010-01-29,15.352857142857143,15.819454687513096,1537.4378378378378,1630.4378378378378,58.7912087912088,63.53969886292201,19.0367452,4958846616.863155,1.1700637678620538,1.1011079465141411,0.0689558213479126,18.706888206915973,83.4351,4.9752,-2.264985872823569,-0.5425515615961779
2010-02-05,15.657142857142858,15.87286072917802,1620.4378378378378,1600.771171171171,67.20516962843294,70.04446181918304,19.114480104,5144050632.960967,1.1003098012377013,1.1009483174588532,-0.0006385162211519,18.6888351282976,82.868,5.1992,-2.1623161600811502,-0.9461050174720199
2010-02-12,15.956428571428573,16.069812631954285,1733.0513219284603,1630.3089992013786,67.01868399675061,69.79665287884194,19.19036970608,5381492116.874871,1.123262564694549,1.1054111669059925,0.0178513977885568,18.67791402837539,83.9401,5.0581,-2.1534518663493976,-0.9368718637205664
2010-02-19,16.17214285714286,16.13783761436038,1656.05132192846,1669.846827231586,61.90851735015772,62.39971170394172,19.2567171002016,5191264508.700613,1.0670202846143653,1.0977329904476671,-0.0307127058333018,18.666731151865196,86.3486,5.1521,-2.2234870784775063,-0.5750878825341293
2010-02-26,16.407857142857143,16.14612593244566,1618.0513219284603,1669.0513219284603,63.30645161290322,61.88212788319401,19.317651442205637,5014516326.842144,0.980482654527446,1.074282923263623,-0.0938002687361772,18.656262908566276,86.0379,5.1521,-2.2266459676438766,-0.5854993024460388
2010-03-05,16.720714285714287,16.28264247478624,1714.97124600639,1663.0246299544367,66.5158371040724,65.79680129694029,19.388804471049745,5245056299.609704,0.9788878428692876,1.055203907184756,-0.0763160643154683,18.64727144869532,88.7649,5.5393,-2.1437199973426404,-0.7831222247799658
2010-03-12,16.934285714285714,16.411623478148076,1721.0880829015543,1684.7035502788017,62.59477674810446,66.04349272053385,19.45498056047074,5465987189.581565,0.9728646959249296,1.0387360649327906,-0.0658713690078609,18.640414448458447,89.705,5.614,-2.1522112430988773,-0.6774348043636367
2010-03-19,17.080000000000002,16.523407014395,1721.023622047244,1719.027650318396,59.340659340659336,64.63304222270773,19.507080171680155,5465987189.581565,0.957058928992172,1.022400637744667,-0.065341708752495,18.634311233973968,90.4745,5.8159,-2.1675190275540945,-0.5430749564897063
2010-03-26,17.117142857142856,16.632286079142336,1730.023622047244,1724.045108998681,52.765957446808514,57.37267109070781,19.55722177511376,5620743981.7529545,0.9409483260791304,1.0061101754115598,-0.0651618493324293,18.62954696948488,90.9504,5.8214,-2.2511100691169372,-0.15209399028107443
2010-04-01,17.055,16.71064793525669,1718.023622047244,1723.023622047244,44.72727272727273,53.29144692458309,19.60776621061603,5486099189.581565,0.908030351419864,0.9864942106132206,-0.0784638591933566,18.626228285283183,91.9021,5.8491,-2.323659711430828,0.19387433697020992
2010-04-09,16.934285714285714,16.747894877222468,1695.023622047244,1714.3569553805771,39.29024081115335,45.45745713019052,19.65912153482835,5387334334.252281,0.8535444128529761,0.9599042510611718,-0.1063598382081957,18.61536903328363,93.2674,6.0592,-2.399720418531785,0.5750752591399718
2010-04-16,16.827857142857145,16.789508893592807,1701.7681564245809,1704.9384668396897,40.485312899106,47.42274085539566,19.71730396552492,5426958956.478117,0.8067130431740424,0.929266009483746,-0.1225529663097035,18.603570940744422,93.1192,5.9182,-2.387027306024153,0.49268519834324476
2010-04-23,16.78,16.742907707780432,1639.25078369906,1678.6808540569616,45.22111269614837,46.606368604371525,19.778050044835418,5430538105.438723,0.7113697986315834,0.8856867673133135,-0.17431696868173,18.58909310064191,95.0306,6.2722,-2.349492792361827,0.39826948259991246
2010-04-30,16.726428571428574,16.605186680076375,1566.2507836990596,1635.7565746075668,44.71086036671368,45.87383257091918,19.851611045732128,5528006956.217509,0.570330278848953,0.8226154696204415,-0.2522851907714885,18.572079319892893,92.6901,5.8076,-2.397083990973101,0.45361505826229365
2010-05-07,16.624285714285712,16.25249512273286,1393.5396226415094,1533.0137300132094,40.7979407979408,44.33916324879457,19.93464326664677,5677216898.545591,0.313728600627817,0.7208380958219167,-0.4071094951940996,18.52812959393317,86.7999,5.2877,-2.502482583330142,0.6457485743017259
2010-05-14,16.39142857142857,15.813495773035145,1293.8048780487804,1417.8650947964495,29.47103274559197,35.421804953341834,20.072536131979707,5944600915.96661,0.0293400652622217,0.5825384897099777,-0.5531984244477559,18.47334813096235,88.8517,5.4315,-2.6341038867039637,1.2607300718867287
2010-05-21,16.06142857142857,15.402363003297124,1271.1026856240126,1319.4823954381006,17.187500000000014,28.36721057154313,20.2219868546193,6185703618.003014,-0.2121534033605332,0.4236001110958755,-0.6357535144564088,18.427786819960527,85.1226,5.1909,-2.7978240955009777,1.8372310852488496
2010-05-28,15.815714285714288,15.10071460285751,1312.1741140215715,1292.360559231455,24.251497005988043,34.77481198751438,20.386226591711686,5999342970.512065,-0.3662334325850782,0.2656334023596848,-0.631866834944763,18.39074738304115,85.3254,5.1411,-2.723075586059119,1.4740504150515514
2010-06-04,15.5225,14.699952655809842,1207.6741140215715,1263.6503045557183,22.05582028590878,35.13497565338261,20.55695112354592,6239237789.29931,-0.5661396271902355,0.0992787964497007,-0.6654184236399362,18.366058888686656,83.3361,5.0968,-2.7583057201640284,1.5510028269595582
2010-06-11,15.125357142857144,14.28795896836853,1159.54484605087,1226.4643580313375,9.475218658892118,29.747861573945485,20.72749014601684,6471862222.792438,-0.7549990146764376,-0.0715767657755269,-0.6834222489009106,18.32827731426289,85.5673,5.296,-2.861327662547739,2.0812305592688713
2010-06-18,14.771785714285716,14.02289777258606,1228.54484605087,1198.5879353744372,16.867469879518083,28.78496330446956,20.924639948937177,6295285008.942167,-0.8393190588359829,-0.2251252243876181,-0.6141938344483648,18.29589705641407,87.5811,5.3015,-2.820663081683663,1.9008573848246002
2010-06-25,14.33107142857143,13.63051140290792,1106.5027548209366,1164.8641489742256,14.499424626006912,22.49976285732174,21.11653274791592,6535692542.910781,-0.993138819259146,-0.3787279433619237,-0.6144108758972222,18.259225637523617,84.5554,5.2241,-2.909761981812174,2.158563249855526
2010-07-02,13.82464285714286,13.179776549186863,1023.7970838396112,1119.614894903806,12.407211028632048,22.668391192041355,21.32086340287424,6814074244.526453,-1.1685458814794707,-0.5366915309854332,-0.6318543504940375,18.21874687397385,80.1109,4.7843,-2.9733497480745554,2.2311173216235556
