Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ,PC1,PC2
2010-01-08,62.544285714285714,62.87943991565066,6412.134238310708,6435.1342383107085,68.72909698996654,67.2761285828627,65.42446,242321652.68291044,1.652515615261528,1.462975188938969,0.189540426322559,61.67642245363404,89.0135,5.5946,-3.3981549396024993,1.2721717020943564
2010-01-15,62.74571428571429,63.10351459356392,6447.1342383107085,6430.467571644042,63.68932038834952,68.0917405593552,65.4603492,8594516.868256956,1.6418085693787958,1.4987418650269344,0.1430667043518614,61.69380486641481,88.291,5.5753,-3.4028864889139845,1.1243071452468403
2010-01-22,62.94142857142857,63.11637931442206,6311.801952580196,6390.356809733871,63.19845857418112,59.34504606449387,65.95,294665560.3752181,1.50621976056037,1.5002374441336217,0.0059823164267485,61.70697494071968,84.8492,5.072,-3.4731791818654094,0.7419908783000538
2010-01-29,63.10714285714285,63.08219540583245,6277.801952580196,6345.579381157033,60.90225563909773,57.97930714812991,65.89280000000001,609115723.8821793,1.3557018076620508,1.4713303168393077,-0.1156285091772566,61.71726595480655,83.4351,4.9752,-3.498914039118605,0.5151113996022756
2010-02-05,63.36357142857143,63.02323601838813,6255.776223776224,6281.7933763122055,69.15688367129137,57.8961736915048,65.96625600000002,947380895.6320904,1.2047751857883,1.418019290629106,-0.213244104840806,61.72506213807436,82.868,5.1992,-3.4948927035154114,0.6522339284743255
2010-02-12,63.53642857142857,62.98280454926972,6261.348056537103,6264.975410964507,64.7560975609756,50.67732125167259,66.04778112000001,603737788.5880616,1.0791799671033149,1.3502514259239478,-0.2710714588206331,61.730259426365336,83.9401,5.0581,-3.51894438810473,0.22105200249342633
2010-02-19,63.70642857142857,63.09309727603376,6367.473568281938,6294.865949531755,64.58333333333334,49.75312273213061,66.1265367424,262338341.11850092,1.0554323744913887,1.291287615637436,-0.2358552411460472,61.73847065721738,86.3486,5.1521,-3.4892178121389454,0.1858703330500271
2010-02-26,63.75571428571429,63.08068430589593,6284.756157635468,6304.525927484836,54.264524103831874,41.75675783573144,66.19266747724801,623643359.4741375,0.9601836067812926,1.2250668138662075,-0.264883207084915,61.74552139911364,86.0379,5.1521,-3.515684620827289,-0.4266414470007239
2010-03-05,63.837857142857146,63.20859306510981,6388.756157635469,6346.995294517626,56.72514619883043,42.55648352432454,66.26612082679297,305987535.40421635,0.9575792035123384,1.1715692917954337,-0.2139900882830951,61.754093537238326,88.7649,5.5393,-3.46612401367111,-0.3168230717599519
2010-03-12,63.825,63.33811398976184,6402.756157635469,6358.756157635468,48.75346260387816,43.140674515584905,66.33104324332884,2670253.000962496,0.9557942242729852,1.128414278290944,-0.172620054017959,61.769299767701085,89.705,5.614,-3.464548609264039,-0.5334753653705866
2010-03-19,63.84357142857143,63.5743654577936,6495.756157635468,6429.089490968802,51.69712793733685,44.24189671090922,66.38566410819541,-273109644.8952487,1.0176915285809258,1.1062697283489404,-0.0885781997680146,61.78651922342455,90.4745,5.8159,-3.42520196718509,-0.35290669023488214
2010-03-26,63.84428571428572,63.68178339675445,6422.756157635468,6440.422824302135,50.06321112515796,45.27087137707202,66.43197739035932,45906624.17213392,0.9963553250776728,1.084286847694687,-0.0879315226170143,61.79942912420928,90.9504,5.8214,-3.423245508058208,-0.38594680889717076
2010-04-01,63.92071428571428,63.9602122771872,6561.756157635468,6493.422824302135,55.96432552954286,46.16502460470302,66.47401693816651,-234445444.8952487,1.0791676405657,1.0832630062688895,-0.0040953657031896,61.81198154141072,91.9021,5.8491,-3.3818631537800536,-0.10784735519498592
2010-04-09,63.97285714285714,64.11751730689556,6498.756157635468,6494.422824302135,53.920515574650935,41.770505396225325,66.51549727692985,60232081.31499082,1.0814944673376274,1.0829092984826372,-0.0014148311450097,61.82540575753307,93.2674,6.0592,-3.3715420628614257,-0.30127556880030903
2010-04-16,64.0307142857143,64.23784833264283,6486.756157635468,6515.756157635468,54.38786565547129,41.50883530683131,66.55040722246845,395797701.2752308,1.061420106918618,1.0786114601698331,-0.0171913532512153,61.843005396101766,93.1192,5.9182,-3.368472457857989,-0.3093150335708274
2010-04-23,64.06500000000001,64.34480188829045,6489.6403712297,6491.717562166879,52.69662921348316,33.02347590252806,66.58361536691783,43108907.51819986,1.0351918176225965,1.069927531660386,-0.0347357140377895,61.8646699707315,95.0306,6.2722,-3.362704350113473,-0.6335427663390305
2010-04-30,64.14357142857143,64.33882830318505,6415.640371229699,6464.012300031623,56.64251207729463,33.04187911676016,66.62868767425618,442714502.16018623,0.943814191335136,1.044704863595336,-0.1008906722602001,61.87856993911215,92.6901,5.8076,-3.398619133175689,-0.5782883662660407
2010-05-07,64.17571428571429,64.2016511960937,6321.270664505672,6408.850468988357,52.51959686450169,32.52594820589526,66.67706142774131,827010581.5964482,0.782491957732887,0.9922622824228462,-0.2097703246899591,61.88734818448829,86.7999,5.2877,-3.4771441647603187,-0.8341516929737187
2010-05-14,64.27071428571428,64.17076436994788,6387.270664505672,6374.727233413682,57.09711846318034,40.90456314467903,66.81000265629613,414961302.6730069,0.6998321797512617,0.9337762618885294,-0.2339440821372677,61.90108068002978,88.8517,5.4315,-3.4525401199194006,-0.5011457707158588
2010-05-21,64.13928571428572,63.73199578728816,6079.104633781764,6262.54865426437,42.56865912762522,38.988559567960735,66.87800270942206,866354774.8311203,0.3805992234437099,0.8231408541995655,-0.4425416307558556,61.89811893265071,85.1226,5.1909,-3.566247616567095,-1.238406463197848
2010-05-28,63.74571428571429,63.00772968231641,5822.735330836455,6096.370209707963,30.136986301369877,31.579901129152688,67.0253627636105,1421097896.0689883,-0.0796613460102833,0.6425804141575957,-0.722241760167879,61.87300468839379,85.3254,5.1411,-3.668114583210995,-2.1733841115799484
2010-06-04,63.38928571428572,62.34136572467423,5794.346820809248,5898.728928475823,31.310861423220985,31.0546718751486,67.20207001888271,2021801811.1530104,-0.4624904377932068,0.4215662437674352,-0.8840566815606421,61.85253536127833,83.3361,5.0968,-3.7293407167137103,-2.4101583070325256
2010-06-11,62.99071428571428,61.82385029471767,5839.346820809248,5818.809657484984,28.13479623824452,25.346766936569622,67.39511141926036,1416420689.7197824,-0.7212597782180836,0.1930010393703314,-0.914260817588415,61.83107047525698,85.5673,5.296,-3.757500628549322,-2.8276353826446297
2010-06-18,62.63357142857143,61.471336922088646,5911.346820809248,5848.346820809248,31.25937031484257,24.140564001087967,67.58561364764557,830647834.9532208,-0.8583439078590231,-0.0172679500755394,-0.8410759577834837,61.81696294449157,87.5811,5.3015,-3.7563566778513944,-2.821044486767793
2010-06-25,62.175714285714285,61.10182533247683,5863.346820809248,5871.346820809248,25.135764158262266,24.554725312827216,67.76972592059849,1480072807.5280015,-0.9942549050664908,-0.2126653410737297,-0.781589563992761,61.800828020810535,84.5554,5.2241,-3.7879316613382987,-3.052865182972844
2010-07-02,61.79714285714285,60.83224862147992,5901.346820809248,5892.013487475914,28.86762360446573,30.962766284949797,67.95252043901046,813854540.2163787,-1.0590939495445113,-0.3819510627678861,-0.6771428867766252,61.78553748797896,80.1109,4.7843,-3.83354580817764,-2.7494304170395996
2010-07-09,61.42357142857144,60.793282138615936,6047.346820809248,5937.346820809248,29.26249008723238,32.26509136155376,68.13857084779066,161165280.0919497,-0.9813570875310588,-0.5018322677205207,-0.4795248198105382,61.77795512606951,84.6259,5.0332,-3.7837855815885786,-2.601910763310593
2010-07-16,61.01642857142857,60.61284452013381,5937.346820809248,5962.013487475914,28.21100917431193,31.769329408464856,68.32796226474647,861920740.2163788,-0.99701786985635,-0.6008693881476866,-0.3961484817086634,61.76809241958018,83.6069,4.8687,-3.8014427751998423,-2.6343562063350054
2010-07-23,60.48857142857143,60.215131917449305,5756.912205567452,5913.868615728649,24.9830737982397,30.94072508354813,68.50952151004141,1606007861.091661,-1.14231315093906,-0.7091581407059614,-0.4331550102330986,61.74003500096208,86.5464,5.1521,-3.81149002917493,-2.8552613996787795
2010-07-30,59.99214285714286,59.931780995122736,5802.509132420091,5832.256052932263,27.1531886916502,31.27987044398965,68.74251194024224,889337527.3958665,-1.2064355147395958,-0.8086136155126884,-0.3978218992269073,61.718440487262434,86.4367,5.3845,-3.83066781890271,-2.8053910701343554
2010-08-06,59.682142857142864,59.935543529106376,5989.509132420091,5849.643490135878,36.719706242350064,36.47758663999371,68.97196217904708,221234396.8447262,-1.093751491908229,-0.8656411907917966,-0.2281103011164323,61.70886721626941,88.0984,5.5891,-3.7819409431827813,-2.2492142158552118
2010-08-13,59.31357142857143,59.69747105855886,5808.310588235294,5866.776284358492,34.965034965034945,38.14466539930308,69.18320142262803,933835439.7246338,-1.1373893487565,-0.9199908223847372,-0.2173985263717626,61.69732141759536,84.9003,5.5144,-3.8187947912670257,-2.2759175587994647
2010-08-20,58.940000000000005,59.56980825075102,5866.29539295393,5888.038371203104,34.69865418373318,31.54941052938038,69.4056654510806,225762145.35536456,-1.1115513237942451,-0.958302922666639,-0.1532484011276061,61.68344088653879,84.2889,5.3955,-3.8423516148583006,-2.4425885165971235
2010-08-27,58.705714285714286,59.30716715065088,5748.324435318275,5807.643472169167,39.16776750330251,32.83303236054539,69.6443787601022,962797815.9958204,-1.1695807763304344,-1.000558493399398,-0.1690222829310363,61.66530980212397,83.7637,5.1273,-3.870233286410264,-2.3058373969247024
2010-09-03,58.75071428571429,59.25687819723076,5881.324435318275,5831.981421196827,52.26781857451405,40.76295270483161,69.89746633530424,273210745.35536456,-1.095620025168408,-1.0195707997532002,-0.0760492254152078,61.651389630345335,86.9226,5.307,-3.813543477628691,-1.6052240244062843
2010-09-10,58.89142857142857,59.35329443759999,5986.324435318275,5871.991101984942,56.723549488054616,46.67990150872419,70.15541566201033,-382088584.7179976,-0.9414271856520812,-1.0039420769329763,0.0625148912808952,61.6449569247248,87.3851,5.2434,-3.7853000025410894,-1.168684339374328
2010-09-17,59.11357142857143,59.64885517925333,6145.324435318275,6004.324435318275,59.84800506649778,54.222649479513215,70.39012397525053,-993664664.7913595,-0.6830547081318556,-0.9397646031727525,0.2567098950408967,61.64252152166492,88.6488,5.3727,-3.7168284508537885,-0.6521301045493123
2010-09-24,59.325,59.98100782201956,6203.918439716312,6111.855770117621,59.46291560102303,53.92391159177192,70.59952645475555,-1591379463.0465395,-0.4273719441700621,-0.8372860713722143,0.4099141272021522,61.64418663204897,90.485,5.578,-3.6696976873078375,-0.489307667114379
2010-10-01,59.54285714285714,60.21687344575029,6165.263698630137,6171.502191221574,59.80707395498391,46.31229527649612,70.78131698385066,-959732577.834838,-0.2532914659188563,-0.7204871502815428,0.4671956843626864,61.64566887699626,90.3195,5.3374,-3.6599594146237093,-0.5897533473706178
2010-10-08,59.83928571428572,60.61862365298359,6314.436746987952,6227.872961778133,62.46246246246246,45.24928201444874,70.96594332352767,-1553905566.6829033,0.0040455636616414,-0.575580607492906,0.5796261711545474,61.64975233626846,91.8405,5.4978,-3.608180986584209,-0.3655767573741057
2010-10-15,60.05571428571428,61.012140499252446,6349.036414565826,6276.245620061305,59.75531229877656,44.43562489589623,71.15926218999822,-2140340749.705726,0.2327392983624747,-0.4139166263218298,0.6466559246843046,61.65669395470577,92.7546,5.5061,-3.588505527959509,-0.3270775670550025
2010-10-22,60.36785714285714,61.38518843268546,6373.274456521739,6345.582539358506,64.8943421949557,44.56531170424851,71.32304743379818,-2697398886.2169204,0.428408300782074,-0.245451640901049,0.673859941683123,61.664924234639685,93.2668,5.7129,-3.5539416376797583,-0.051135580503808675
2010-10-29,60.80428571428571,61.6991633083274,6366.128453038674,6362.813108042079,73.62722351121421,53.66719393956743,71.49950838247415,-2138879920.2320416,0.571244034292782,-0.0821125058622828,0.6533565401550648,61.67252593732704,93.3772,5.838,-3.5032838213345827,0.554675227282208
2010-11-05,61.27285714285715,62.092608200550416,6457.813366960909,6399.072092173774,74.51420029895365,61.90883407125167,71.66389855012363,-2665548707.9560504,0.7492350615813166,0.084157007626437,0.6650780539548795,61.68238734741088,96.7107,6.1394,-3.4385490837339554,0.9233672591687204
2010-11-12,61.53785714285714,62.302927107143695,6359.813366960908,6394.585062320163,64.85188150520415,54.60650730305737,71.8309765211261,-2103033531.1411328,0.8019717916611455,0.2277199644333787,0.5742518272277668,61.69127310704413,94.7248,5.9486,-3.470080893012692,0.41688182518738287
