Date,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,MACD,MACD_Signal,MACD_Histo,VWAP,SPY,NDAQ,PC1,PC2
2014-04-11,62.84064285714286,61.08961371043637,5850.5,5840.466666666667,55.32359640895083,60.66183257538349,40.68374734570055,16668882398.540089,4.456143392579868,5.804983034816012,-1.3488396422361442,38.27201342036725,153.7621,9.9668,-2.3049054927734813,-1.4214006695612462
2014-04-17,62.91207142857143,60.80299854904485,5891.5,5804.8,51.45594315997904,53.47523437748228,41.13367239878654,19354541287.88499,3.917942717857642,5.427574971424338,-1.5096322535666964,38.52393569397601,157.896,10.0356,-2.3423102690630557,-1.1001000488994694
2014-04-25,63.01278571428571,60.390598742505546,5768.5,5836.833333333333,52.07768478132737,59.923882339104,41.5225989508108,17097043549.855877,3.353506944581156,5.0127613660557016,-1.6592544214745455,38.85857417756785,157.8113,10.3337,-2.291768858689747,-1.1852898924616606
2014-05-02,63.442071428571424,60.39985224350481,6043.5,5901.166666666667,58.62712448323381,57.65733131244645,41.96514697179459,19561389513.606773,3.0924418009077783,4.628697453026117,-1.5362556521183386,39.13812523459419,159.3107,10.5631,-2.222363171895136,-1.7365287323161585
2014-05-09,63.06135714285714,59.9785386110375,5720.951477969883,5844.317159323294,41.09648536683149,50.41381796955229,42.371444032358696,17278067007.616188,2.5957959840593148,4.222117159232757,-1.626321175173442,39.33235760569591,159.226,10.4255,-2.153392057451872,-1.737258231618591
2014-05-16,62.61135,59.7173867962325,5798.941477969883,5854.464318646588,39.12346910941618,49.94360494645484,42.75101515171152,19410974425.56208,2.239318537992176,3.8255574349846406,-1.5862388969924646,39.49766440577275,159.3023,10.3366,-2.104183976867931,-1.6359207858408629
2014-05-23,62.20142142857143,59.93520189006817,6132.051477969883,5883.981477969883,40.28045930291636,49.84243522202534,43.11379484867729,21775938890.055286,2.200236566993801,3.500493261386473,-1.3002566943926714,39.67137774878247,161.2507,10.4484,-2.050665818690152,-1.691284114043584
2014-05-30,61.82356428571428,60.38384163805908,6326.951477969883,6085.981477969883,41.17509675697317,48.25537264716213,43.48111895170374,24192091730.006367,2.3000186516304737,3.260398339435273,-0.9603796878047994,39.82207765798884,163.2245,10.8641,-1.9996238277680698,-2.001933922127785
2014-06-06,61.39785,60.66599608631788,6246.951477969883,6235.31814463655,40.27478624110698,42.26848987213886,43.89749657266967,21894608823.82152,2.288166795985348,3.065952030745288,-0.7777852347599405,39.97258982740559,165.5117,10.7809,-1.9571511806545947,-1.7037810386144856
2014-06-13,61.01927857142857,61.17719660814216,6446.951477969883,6340.284811303216,41.534087278768126,41.67625028292805,44.30674664121627,24229402498.382435,2.4123493387592703,2.9352314923480844,-0.5228821535888142,40.16270747882668,164.4528,10.572,-1.950221719105668,-1.7473298961981558
2014-06-20,60.78927857142857,61.62023706038988,6446.341365461847,6380.081440467205,44.49045239887755,47.14644412012026,44.750011708391945,24229402498.382435,2.482152193197436,2.8446156325179546,-0.3624634393205186,40.303032960196056,166.7796,10.8742,-1.975920337672128,-1.2001236944205902
2014-06-27,60.814992857142855,62.417538785671226,6755.902548725636,6549.731797385789,50.56529112492935,53.177098398638655,45.1700114742241,26738289960.377213,2.755847851880354,2.826862076390434,-0.0710142245100806,40.50117066118639,166.6775,11.0066,-2.0910461478780653,-0.5265516214501496
2014-07-03,61.26356428571429,62.93386694758173,6625.033381712628,6609.092431966703,62.11326286551967,60.62613839950237,45.62661124473962,24306339199.874973,2.83437467447375,2.8283645960070976,0.0060100784666525,40.61044021960041,168.7033,11.4959,-2.085660239747489,-0.5424298745813148
2014-07-11,61.948635714285714,63.38801802123751,6630.033381712627,6670.323104050297,71.11531856809479,62.61490539412258,46.08287901984483,26944245941.19913,2.8675865762267136,2.836208992051021,0.0313775841756927,40.79429936039781,167.3499,11.257,-1.9636549522366875,-0.7051857193520165
2014-07-18,62.65505714285714,64.05893561840584,6838.029130434782,6697.698631286679,71.49053233608146,59.87046853621623,46.493021439447936,29768282032.17618,3.026846196389556,2.874336432918728,0.1525097634708281,40.96051149916251,168.2862,11.7981,-1.9764199444987571,0.49303418571721386
2014-07-25,63.81577142857143,65.54307753595172,7516.524456521739,6994.862322889716,77.66428328226084,69.72328989003958,46.93236101065898,32802533705.920223,3.657193235589624,3.0309077934529074,0.6262854421367163,41.309156538329965,168.2947,12.1925,-1.9403685954087404,0.3569621212823091
2014-08-01,64.8622,66.45200053115816,7233.524456521739,7196.026014492753,73.65192121407816,60.95393278343676,47.5285137904458,29890359580.277447,3.883622474443349,3.201450729650996,0.6821717447923534,41.51735841557325,163.8515,12.0802,-1.9692139517603833,0.5203629622903595
2014-08-08,65.76219999999999,67.33306712700374,7303.2529296875,7351.10061424366,71.78423236514526,64.47667720030596,48.08794351463688,32826673967.458687,4.072606949620003,3.375681973644798,0.6969249759752048,41.67716422836664,164.4814,11.9823,-1.990001286004014,0.8921040862040239
2014-08-15,66.93291428571429,68.17265817673658,7360.050437467833,7298.942607892357,81.19527978682912,72.07514711869396,48.60618464434415,35785801974.39301,4.219730319634508,3.54449164284274,0.6752386767917677,41.81878568978387,166.5923,12.1234,-1.9304621825012378,0.7188036033846334
2014-08-22,68.11506428571428,69.02563708650503,7453.996870109545,7372.433412421626,81.30918914419547,71.16849828439094,49.12706095145727,38744361024.61092,4.361895577399338,3.7079724297540593,0.6539231476452785,41.93564116255227,169.5459,12.3105,-1.9425270000757082,0.9842950949204646
2014-08-29,69.07713571428572,69.79821880830437,7477.941331575477,7430.662879717619,78.84277699259073,70.32341258645042,49.65611973242813,41698390411.11201,4.443513422344438,3.8550806282721353,0.5884327940723026,42.06649840272078,170.8397,12.5119,-1.942170707360324,1.0053623008100463
2014-09-05,70.07427857142856,70.79312296719712,7722.0618228170815,7551.333341500701,79.27852348993294,69.887646299848,50.18279733777956,44755198119.41761,4.651464572402915,4.014357417098291,0.6371071553046237,42.197832296862906,171.1802,12.4112,-1.8295030584865317,0.8507617653563279
2014-09-12,71.14427857142857,71.68470657157084,7744.270971635486,7648.091375342682,82.20120378331904,76.5505905328794,50.72874139102397,47838983309.2047,4.778930976894273,4.167272129057488,0.611658847836785,42.3556171833395,169.4949,12.6664,-1.7732812224178898,0.6285706594487084
2014-09-19,72.10213571428572,72.5147456953614,7787.147987616099,7751.160260689557,80.91286307053946,67.60246613624317,51.28136656320349,51106144745.6457,4.858639060448539,4.305545515335698,0.5530935451128407,42.580395748776354,171.6306,12.6794,-1.8362602311698222,0.9971781810051517
2014-09-26,73.12285,73.35144626931321,7875.281530185297,7802.23349647896,81.65706690296858,67.89139451135253,51.82173923193942,54522166844.25058,4.93591873775803,4.431620159820165,0.504298577937865,42.75835606076235,169.2362,12.2433,-1.8548021224374736,0.9954736444568443
